"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Amazônia  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"4. Área não Vegetada";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1. Floresta";0.9021972792270043;0.00035375796808013733;0.006450278883936893;0.0;0.0010754761358191542;0.9100767922148405;0.9100767922148405;0.007353693863471905;0.9913419251482501;0.00193473116896002;0.008658074851749853;0.007353693863471844
"2. Formação Natural não Florestal";0.00908104462424135;0.02668962214044114;0.001761641026112212;0.0;0.0006377994990357328;0.03817010728983043;0.03817010728983043;-0.010930760310030771;0.6992283762207809;0.022519920938221808;0.30077162377921907;0.010930760310030766
"3. Agropecuária";0.006075893552508717;0.0001959668712783883;0.031105437665072885;0.00016883646835993185;3.554558015551614e-05;0.037581680137375444;0.037581680137375444;0.0017612151746364824;0.8276755470050992;0.022117429464427733;0.17232445299490085;0.0017612151746364754
"4. Área não Vegetada";0.0;0.0;0.0;0.0003618715154825823;0.0;0.0003618715154825823;0.0003618715154825823;0.00016883646835993185;1.0;0.10738077490537776;0.0;0.00016883646835993185
"5. Corpo D'água";7.626867455802388e-05;0.0;2.553773688993164e-05;0.0;0.01370774243103407;0.013809548842482025;0.013809548842482025;0.0016470148035624477;0.9926278249485768;0.03995922366053142;0.00737217505142318;0.001647014803562448
"total";0.9174304860783123;0.027239346979799666;0.03934289531201192;0.0005307079838425141;0.015456563646044473;1.0;1.0;0;0.9740619529790348;0.00404222878860519;0.02593804702096525;0.010930760310030733
"adj population";0.9174304860783015;0.027239346979799642;0.03934289531201195;0.0005307079838425141;0.015456563646044459;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";7.860152009200501e-18;1.312797228212346e-17;1.0662044986960048e-17;9.910947110337591e-17;1.9552466797577057e-17;1.50312107179237e-16;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.9833957917439337;0.9798187218009963;0.7906240102155363;0.6818655955814046;0.8868557555832954;0.9740619529790346;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.0018875452469711753;0.034884334133075616;0.021174780742122472;0.07113347142114312;0.03462049643007411;0.004087860224756549;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9981124547530288;0.9651156658669244;0.9788252192578776;0.9288665285788569;0.9653795035699259;0.02593804702096536;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.01575902597567236;0.0010994496787170502;0.012952484944605117;0.0;0.00020361282289590998;0.015007286710945218;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1986 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"4. Área não Vegetada";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1. Floresta";0.9012638926728284;1.0422236565733189e-05;0.008340935516603946;0.0;0.0005832834573231926;0.9101985338833213;0.9101985338833213;-0.0035242738588091025;0.9901838545351488;0.0018539542604597877;0.009816145464851211;0.003524273858809046
"2. Formação Natural não Florestal";0.0016861215029208643;0.03538346925023723;0.001588303569142931;0.0;0.000530123318914801;0.03918801764121582;0.03918801764121582;-0.003748882873417154;0.9029155180593477;0.024877725608073067;0.09708448194065233;0.003748882873417153
"3. Agropecuária";0.0033987390459818234;4.52432809957096e-05;0.03186893534179382;7.544784807821982e-05;0.0;0.035388365516849575;0.035388365516849575;0.006417576940262465;0.9005483829599301;0.023292938921063575;0.09945161704006988;0.006417576940262459
"4. Área não Vegetada";1.0633687833613298e-05;0.0;7.768029571332324e-06;0.00044866146153887357;0.0;0.0004670631789438192;0.0004670631789438192;5.7046130673274185e-05;0.960601224342801;0.09332681037300732;0.03939877565719896;5.704613067327417e-05
"5. Corpo D'água";0.00031487311494747566;0.0;0.0;0.0;0.014443146664741906;0.014758019779689381;0.014758019779689381;0.000798533661290518;0.9786642707051513;0.036027351982882316;0.021335729294848726;0.0007985336612905177
"total";0.9066742600245122;0.03543913476779867;0.041805942457112034;0.0005241093096170934;0.0155565534409799;0.9999999999999999;0.9999999999999999;0;0.9834081053911401;0.004061956126166692;0.016591894608859903;0.007273156732226225
"adj population";0.906674260024492;0.035439134767798836;0.041805942457112104;0.0005241093096170934;0.015556553440979873;0.9999999999999999;NaN;NaN;NaN;NaN;NaN;NaN
