"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Caatinga  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"4. Área não Vegetada";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1. Floresta";0.623339515415556;0.010620038009686488;0.05109614008542509;0.0;0.0017952640599242992;0.6868509575705918;0.6868509575705918;0.025238093147031085;0.9075324254046652;0.009031896713296303;0.09246757459533483;0.025238093147031182
"2. Formação Natural não Florestal";0.02503052131351477;0.006461428472270762;0.005301837005374212;0.00010283345534234937;0.0;0.036896620246502095;0.036896620246502095;-0.0002976594557861506;0.17512250252469463;0.010442998709064122;0.8248774974753054;0.00029765945578615755
"3. Agropecuária";0.06354675489082931;0.01922158315927535;0.17899561432726674;0.000716783876133648;0.0006547584441047862;0.26313549469760983;0.26313549469760983;-0.02763820904586836;0.680241236679091;0.016293391376361835;0.319758763320909;0.02763820904586839
"4. Área não Vegetada";0.00012057452793095788;0.0;0.0;0.0011945977203185272;0.0;0.001315172248249485;0.001315172248249485;0.0006990428035450394;0.9083203526447241;0.06141813688880253;0.0916796473552759;0.0006990428035450395
"5. Corpo D'água";5.1684569791942004e-05;0.0002959111494833374;0.00010369423367541218;0.0;0.011350465284097272;0.011801755237047963;0.011801755237047963;0.0019987325510783943;0.9617607767754744;0.05431898056835654;0.038239223224525554;0.0019987325510783943
"total";0.712089050717623;0.03659896079071594;0.23549728565174144;0.0020142150517945246;0.013800487788126358;1.0;1.0;0;0.8213416212195088;0.011598082606499088;0.17865837878049118;0.02793586850165458
"adj population";0.7120890507176224;0.03659896079071595;0.23549728565174077;0.002014215051794524;0.013800487788126353;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";7.861593475463515e-17;1.7149076307712577e-16;8.421453037625575e-17;7.717180085715816e-16;3.16831419022534e-16;1.4228706558021324e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8753673642185232;0.17654677435294375;0.7600750634211945;0.5930835037967888;0.8224684125921237;0.8213416212195088;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.008559957879111658;0.010497352154156571;0.0187160872383465;0.03811537191144271;0.044135410246280905;0.011573094948804092;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9914400421208883;0.9895026478458434;0.9812839127616535;0.9618846280885573;0.9558645897537191;0.17865837878049118;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.12702288431007158;0.06027506463689035;0.1130033426489494;0.00024114905586191575;0.0009025799059013823;0.15072251027883732;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1986 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"4. Área não Vegetada";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1. Floresta";0.6075843216648817;0.010606020195093132;0.059366701871745614;6.147016249581173e-05;0.0015023033784906839;0.679120817272707;0.679120817272707;0.009153833966535116;0.8946630793985817;0.009016758578739213;0.1053369206014183;0.00915383396653513
"2. Formação Natural não Florestal";0.024480902821268902;0.006707494325654258;0.006381386239759054;9.829476938624809e-05;0.0;0.037668078156068464;0.037668078156068464;-0.0010877005294321132;0.17806839780525557;0.010239141795252852;0.8219316021947445;0.0010877005294320993
"3. Agropecuária";0.0560984177578287;0.019020857468367923;0.19439077780033098;0.0005929424600826107;0.0005826716687619306;0.2706856671553722;0.2706856671553722;-0.010386213524873025;0.7181421160683459;0.016469421883784828;0.2818578839316541;0.010386213524873067
"4. Área não Vegetada";6.160559000311293e-05;0.0;6.147016249581173e-05;0.0012340778671728143;0.0;0.001357153619671739;0.001357153619671739;0.0006296316394657458;0.9093133225929917;0.05679074813260522;0.09068667740700831;0.0006296316394657458
"5. Corpo D'água";4.940340525963228e-05;0.0002460056375210489;9.911755616764532e-05;0.0;0.010773757197233448;0.011168283796181774;0.011168283796181774;0.0016904484483042878;0.9646743755667092;0.05433795748121286;0.03532562443329079;0.0016904484483042884
"total";0.6882746512392421;0.036580377626636365;0.2602994536304991;0.001986785259137485;0.012858732244486063;0.9999999999999999;0.9999999999999999;0;0.8206904288552729;0.011651129198261377;0.17930957114472712;0.011473914054305166
"adj population";0.688274651239241;0.036580377626636365;0.26029945363049894;0.0019867852591374845;0.012858732244486063;0.9999999999999999;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";7.151931823029507e-17;1.572912783476602e-16;7.581309023271407e-17;7.088898733123505e-16;3.052110644084769e-16;1.3187246245314967e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8827643449761267;0.18336317886369036;0.746796718506651;0.6211430558471928;0.837855318268512;0.820690428855273;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.008913603104373577;0.01057568618468899;0.017351062669812723;0.03848184178932951;0.04477145072751292;0.011690501048219065;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9910863968956264;0.989424313815311;0.9826489373301873;0.9615181582106704;0.9552285492724871;0.179309571144727;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.14307299121565054;0.05974576660196421;0.13181735166033626;0.00024615150499784954;0.0007890531978966518;0.16783565709042272;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1987 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"4. Área não Vegetada";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1. Floresta";0.5902740741686278;0.010736532669233868;0.061242008976722204;6.058650369645638e-05;0.0017907650406157204;0.664103967358896;0.664103967358896;0.000943927672089423;0.888827808868714;0.009229555392556989;0.11117219113128596;0.0009439276720895062
"2. Formação Natural não Florestal";0.02380688902259778;0.005930104868770621;0.0062265373228416535;9.688174175833705e-05;0.0;0.03606041295596839;0.03606041295596839;0.0012397074954406916;0.1644491669025416;0.00993049895263287;0.8355508330974584;0.001239707495440702
"3. Agropecuária";0.050857518644337026;0.020488001390058696;0.21667881150112778;0.00036236223435223485;0.00042640823853626873;0.288813102008412;0.288813102008412;-0.004526101008112474;0.7502388568743548;0.01628834758181436;0.24976114312564524;0.004526101008112349
"4. Área não Vegetada";6.071998437779124e-05;0.0;0.00013964319960794536;0.0014835032440695555;0.0;0.0016838664280552922;0.0016838664280552922;0.00031946729582129165;0.8810100488688183;0.05496353763482473;0.11898995113118171;0.00031946729582129187
"5. Corpo D'água";4.8693211045020154e-05;0.00014548152334590295;0.0;0.0;0.009144476514280738;0.009338651248671661;0.009338651248671661;0.002022998544761066;0.979207411303796;0.05981061248505109;0.02079258869620404;0.002022998544761066
"total";0.6650478950309855;0.03730012045140909;0.28428700100029963;0.002003333723876584;0.011361649793432727;1.0;1.0;0;0.8235109702968759;0.011842872144699338;0.17648902970312408;0.004526101008112457
"adj population";0.6650478950309833;0.037300120451409104;0.28428700100029836;0.0020033337238765836;0.011361649793432725;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";6.890239833249376e-17;1.5158857352076624e-16;7.243158152936119e-17;6.801728931258792e-16;3.1947757238367226e-16;1.2925730188921727e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8875662618872374;0.15898353133995305;0.762183324382458;0.7405172819628265;0.8048546364777445;0.8235109702968761;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.009339481777345676;0.009600456812618003;0.01672984075034712;0.046090221621054056;0.046386401491718104;0.011944737290572846;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9906605182226543;0.990399543187382;0.9832701592496529;0.953909778378946;0.9536135985082819;0.17648902970312386;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.14765978638053645;0.060260616174395536;0.1352163789983437;0.0004007263679714733;0.0003883494687818463;0.1719629286950145;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1988 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"4. Área não Vegetada";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1. Floresta";0.57896893323444;0.011188439760826662;0.06798029617544891;0.00035795417917024316;0.0020235988540508137;0.6605192222039366;0.6605192222039366;-0.010239666166557401;0.8765360852067409;0.009227861090120167;0.12346391479325913;0.01023966616655747
"2. Formação Natural não Florestal";0.022710027743345212;0.005383835166990345;0.005004237827435768;9.679311347523758e-05;0.0;0.03319489385124657;0.03319489385124657;0.0037674636428034446;0.16218865440921318;0.010195711053852627;0.8378113455907868;0.003767463642803434
"3. Agropecuária";0.04849128195633998;0.020147835173652463;0.2248322093601592;0.00016797309132917203;0.0008631843153367015;0.2945024838968175;0.2945024838968175;0.0034537749189873235;0.7634306046767722;0.016323758140918722;0.23656939532322785;0.0034537749189874623
"4. Área não Vegetada";6.066443719348634e-05;0.0;0.00013951545276108705;0.0014520170342761142;0.0;0.0016521969242306875;0.0016521969242306875;0.0004225404940200794;0.8788401751517707;0.051802204396688825;0.12115982484822929;0.0004225404940200795
"5. Corpo D'água";4.8648666060431783e-05;0.0002422473925805295;0.0;0.0;0.0098403070651302;0.01013120312377116;0.01013120312377116;0.0025958871107465533;0.9712871161413767;0.060488412508950665;0.02871288385862325;0.002595887110746554
"total";0.6502795560373791;0.036962357494050004;0.29795625881580495;0.002074737418250767;0.012727090234517714;0.9999999999999999;0.9999999999999999;0;0.8204773018609954;0.01193942033158944;0.17952269813900457;0.010239666166557502
"adj population";0.6502795560373781;0.03696235749405002;0.2979562588158034;0.002074737418250767;0.01272709023451771;0.9999999999999999;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";6.823643194458159e-17;1.5194240416240763e-16;7.14251491611304e-17;6.795933151369641e-16;3.0115387077275425e-16;1.2723511711778378e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.890338513427231;0.1456572451542628;0.7545812605304223;0.6998558089824808;0.7731780700699251;0.8204773018609954;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.009607565528622332;0.009146376843518062;0.016187707175868413;0.040898202220973505;0.04508581707480124;0.012067568058840482;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9903924344713777;0.990853623156482;0.9838122928241316;0.9591017977790265;0.9549141829251988;0.17952269813900457;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.1426212456058782;0.05562211736851245;0.13934054907331656;0.0004003597799091467;0.0005817921172819214;0.16928303197244915;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1989 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"4. Área não Vegetada";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1. Floresta";0.5701276389412171;0.012048903211171233;0.0736342501140969;0.0003582592876567056;0.0019057003478688615;0.6580747519020108;0.6580747519020108;-0.02014246589103988;0.8663569560956362;0.009255694523310943;0.13364304390436377;0.020142465891039962
"2. Formação Natural não Florestal";0.022299325426625813;0.005565122700956534;0.006473620211789968;9.687561677334373e-05;0.0;0.03443494395614566;0.03443494395614566;0.0026987197617026094;0.1616126545187339;0.010170569040243759;0.838387345481266;0.002698719761702592
