"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Cerrado  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"4. Área não Vegetada";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1. Floresta";0.5045104801938688;0.03401651143582763;0.03845582270937616;0.00037615898942718507;0.0008992571771593025;0.5782582305056592;0.5782582305056592;0.00901033861286818;0.8724657144139533;0.0074519202611348125;0.12753428558604674;0.009010338612868152
"2. Formação Natural não Florestal";0.03851507088060264;0.050701910802767376;0.01330020338235979;0.00017717762685311682;0.00040280762565977045;0.10309717031824268;0.10309717031824268;-0.002773666423193759;0.49178760819777706;0.012388477634401257;0.508212391802223;0.0027736664231937658
"3. Agropecuária";0.04395529119318773;0.01552700641042117;0.2512078529960733;0.0011972288056194466;4.631894761704193e-05;0.3119336983529187;0.3119336983529187;-0.008969819265109397;0.8053245106973301;0.010661086529622334;0.19467548930266987;0.008969819265109424
"4. Área não Vegetada";0.0;0.0;0.0;0.0011001982363267686;0.0;0.0011001982363267686;0.0011001982363267686;0.0017505654218997486;1.0;0.05853278398070623;0.0;0.0017505654218997486
"5. Corpo D'água";0.00028772685086812404;7.807524603275092e-05;0.0;0.0;0.005244900489958758;0.0056107025868596325;0.0056107025868596325;0.00098258165353524;0.9348028003199476;0.05061329524364043;0.06519719968005244;0.0009825816535352404
"total";0.5872685691185273;0.10032350389504892;0.30296387908780925;0.002850763658226517;0.006593284240394873;1.0000000000000002;1.0000000000000002;0;0.8127653427189941;0.009260277174632122;0.18723465728100586;0.011743485688303164
"adj population";0.5872685691185231;0.10032350389504896;0.3029638790878067;0.002850763658226517;0.006593284240394869;1.0000000000000002;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";2.2956731513829835e-17;3.659897704941877e-17;2.4670519104616135e-17;2.166078291678995e-16;1.4891064581541226e-16;4.497447026511765e-16;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8590796557546464;0.5053841705509812;0.8291676676190967;0.38593105856106313;0.7954913361424624;0.8127653427189939;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.007310556705014913;0.012833825339642953;0.011209445778402351;0.022105560446089342;0.041651409583701844;0.009314488988276148;NaN;NaN;NaN;NaN;NaN;NaN
