"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para BRASIL  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"4. Área não Vegetada";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1. Floresta";0.6741617221338417;0.013516100511088907;0.02287712787299122;0.0001464723932705438;0.0009811162060859066;0.7116825391172783;0.7116825391172783;0.0029243174154555823;0.9472787163923205;0.0027356703086851217;0.05272128360767947;0.002924317415455513
"2. Formação Natural não Florestal";0.016850836641858172;0.04853357745355471;0.007356672563013011;9.954064478291373e-05;0.0004409841134538449;0.07328161141666265;0.07328161141666265;-0.0002473969583111982;0.6622886221429259;0.009788824360854065;0.33771137785707406;0.0002473969583111635
"3. Agropecuária";0.023448552176346945;0.010429978372960301;0.1652783161485388;0.001081816828801836;0.00017397032796789228;0.2004126338546158;0.2004126338546158;-0.004837853341420846;0.8246901054573024;0.006895940392629763;0.17530989454269763;0.004837853341420867
"4. Área não Vegetada";1.4703358686198146e-05;9.978134346308146e-06;2.105527446471117e-05;0.001988650251954529;0.0;0.0020343870194517466;0.0020343870194517466;0.0012820930993580754;0.9775181580201276;0.02930747901397464;0.022481841979872352;0.0012820930993580758
"5. Corpo D'água";0.0001310422220008284;0.0005445799864012488;4.160865418718092e-05;0.0;0.011871597729381652;0.01258882859197091;0.01258882859197091;0.0008788397849183858;0.9430264017537978;0.021823134820995526;0.056973598246202184;0.0008788397849183865
"total";0.7146068565327338;0.07303421445835148;0.19557478051319493;0.0033164801188098223;0.013467668376889296;0.9999999999999999;0.9999999999999999;0;0.9018338637172726;0.004380653649982078;0.09816613628272741;0.005085250299732003
"adj population";0.7146068565327545;0.07303421445835177;0.19557478051319455;0.003316480118809822;0.013467668376889312;0.9999999999999999;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";2.059263868176585e-18;3.436971916502556e-18;2.2683032872846302e-18;1.5285751982882724e-17;8.9903616969981e-18;3.2040652751844594e-17;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.9434022581379498;0.6645320664225343;0.8450901272385062;0.599626767148597;0.8814887178060815;0.9018338637172727;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.002723574818129755;0.009917034593932257;0.007119373250572748;0.01650367362012645;0.01998391844518813;0.004386808823450902;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9972764251818702;0.9900829654060678;0.9928806267494272;0.9834963263798735;0.9800160815548119;0.0981661362827273;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.07504163396687313;0.049001274009593546;0.06059292872931227;9.147353499443494e-05;0.001434461725178516;0.09308088598297595;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1986 "
