"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Mata Atlântica  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"4. Área não Vegetada";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1. Floresta";0.2829725242703936;0.002488037111626062;0.04577639517461048;0.0005153022278485555;0.00044070780448842556;0.3321929665889671;0.3321929665889671;-0.016732350314233077;0.8518317746941478;0.014118382026700656;0.14816822530585216;0.01673235031423298
"2. Formação Natural não Florestal";4.4367108787676286e-05;0.0032434438904976174;0.01657274937196871;4.328110086369178e-05;0.0;0.019903841472117698;0.019903841472117698;-0.006342132060384415;0.1629556734081305;0.012677556798407182;0.8370443265918694;0.006342132060384408
"3. Agropecuária";0.03242488209178022;0.00765039220814561;0.5761781241922521;0.005385791557496747;0.000642750439242077;0.6222819404889168;0.6222819404889168;0.016496630013286946;0.9259116916353985;0.008808262555989137;0.07408830836460145;0.016496630013286828
"4. Área não Vegetada";1.8842803772569844e-05;8.184083633302855e-05;0.00017269573766071701;0.011054350720423177;0.0;0.011327730098189492;0.011327730098189492;0.00567099550844268;0.9758663584498709;0.0607125266253144;0.024133641550129092;0.0056709955084426784
"5. Corpo D'água";0.0;9.79953651309709e-05;7.860602571165397e-05;0.0;0.014116919960974429;0.014293521351817053;0.014293521351817053;0.0009068568528878778;0.9876446547708011;0.060852788537318694;0.0123553452291989;0.0009068568528878777
"total";0.3154606162747341;0.01356170941173329;0.6387785705022037;0.01699872560663217;0.01520037820470493;0.9999999999999999;0.9999999999999999;0;0.8875653630345401;0.011981117752798573;0.11243463696545986;0.023074482374617383
"adj population";0.31546061627473465;0.013561709411733286;0.6387785705021949;0.01699872560663217;0.015200378204704915;0.9999999999999999;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";6.298413907719839e-17;2.1605295455641613e-16;6.073174984846116e-17;2.316589927648813e-16;2.530037562762341e-16;8.244315925231911e-16;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8970137940260454;0.239161877903936;0.9019997708114466;0.6503046743757217;0.9287216259267058;0.8875653630345399;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.015084280925041842;0.019159339805444067;0.00847120840376148;0.03633162840295758;0.05610325250869512;0.01189993838892824;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9849157190749581;0.980840660194556;0.9915287915962385;0.9636683715970424;0.9438967474913049;0.11243463696546008;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.06497618400868099;0.020636531042471346;0.09220763259332942;0.0005467587555326309;0.00035320278168524816;0.08936015459084982;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1986 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"4. Área não Vegetada";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1. Floresta";0.2787128247426665;0.002439859944733469;0.048744209768192416;0.00038953394621518163;0.00031498871574709054;0.33060141711755464;0.33060141711755464;-0.020481459421937603;0.8430478827728751;0.013944021341885734;0.15695211722712488;0.020481459421937576
"2. Formação Natural não Florestal";0.00012790730019100784;0.0030224435633592526;0.01630406316814207;0.0;0.0;0.019454414031692333;0.019454414031692333;-0.006183739219488799;0.15536029810178403;0.012295274428293262;0.8446397018982159;0.006183739219488794
"3. Agropecuária";0.031144022465878576;0.007632017365291042;0.5792752097058343;0.005600461400718182;0.0005452487254451284;0.6241969596631674;0.6241969596631674;0.020570834012752365;0.9280327318774919;0.008711360072114463;0.07196726812250809;0.02057083401275228
"4. Área não Vegetada";1.8477940685185193e-05;8.025610931580619e-05;0.00028974419393360386;0.011211123888408529;0.0;0.011599602132343125;0.011599602132343125;0.00560151710299877;0.9665093475187909;0.05943625967128256;0.03349065248120908;0.005601517102998768
"5. Corpo D'água";0.00011672524619583681;9.60978295039682e-05;0.00015456683981714524;0.0;0.01378021713973148;0.01414760705524843;0.01414760705524843;0.0004928475256752686;0.9740316567966413;0.060053602981266795;0.025968343203358724;0.0004928475256752683
"total";0.31011995769561707;0.013270674812203538;0.6447677936759196;0.017201119235341893;0.014640454580923699;1.0000000000000002;1.0000000000000002;0;0.8860018190399996;0.011825766788503472;0.11399818096000036;0.026665198641426344
"adj population";0.310119957695618;0.013270674812203535;0.6447677936759131;0.017201119235341893;0.014640454580923681;1.0000000000000002;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";6.145682743566458e-17;2.1023421854791853e-16;5.915509511372361e-17;2.2282265577645543e-16;2.473818424098973e-16;8.010506392836594e-16;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8987258569673331;0.22775356989230516;0.8984245419630796;0.6517671167219075;0.9412424363985873;0.8860018190399992;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.015119066893414601;0.018487632235189008;0.008287736433075055;0.0358581260915692;0.057441661600786106;0.011735505215521188;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9848809331065854;0.981512367764811;0.991712263566925;0.9641418739084308;0.9425583383992139;0.1139981809600008;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.06281426590590111;0.02049646249768857;0.089843499914666;0.0007769564878691917;0.0007347798310338993;0.08733298231857939;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1987 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"4. Área não Vegetada";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1. Floresta";0.27338327874543816;0.002229470505857406;0.046301939945473776;0.0002651381251507265;0.00018656685549751527;0.3223663941774176;0.3223663941774176;-0.01855800266661444;0.8480514212501289;0.014205429517200571;0.1519485787498711;0.018558002666614393
"2. Formação Natural não Florestal";0.00012707949267511066;0.00298152137257662;0.016350291536699528;0.0;0.0;0.01945889240195126;0.01945889240195126;-0.006458801494913822;0.15322153548049025;0.01185194379701541;0.8467784645195098;0.0064588014949138114
"3. Agropecuária";0.030163705111816805;0.0076138864407135414;0.5871882007521764;0.005265310888283806;0.0005417199120601004;0.6307728231050507;0.6307728231050507;0.01950770566571574;0.930902821497089;0.008576108693336238;0.06909717850291097;0.01950770566571569
"4. Área não Vegetada";1.835835268548028e-05;7.973669712909695e-05;0.00033120893636935525;0.011983244556280222;0.0;0.012412548542464154;0.012412548542464154;0.0051011450272506025;0.9654137113973609;0.055219257030077795;0.034586288602639126;0.005101145027250601
"5. Corpo D'água";0.00011596980818759518;9.54758907607847e-05;0.0001088876000473182;0.0;0.014669008474127429;0.014989341773123128;0.014989341773123128;0.00040795346856191747;0.9786292617885278;0.0592695909329523;0.021370738211472173;0.0004079534685619175
"total";0.3038083915108032;0.013000090907037447;0.6502805287707664;0.017513693569714755;0.015397295241685045;1.0;1.0;0;0.8902052539005985;0.01179337894566483;0.10979474609940154;0.025016804161528204
"adj population";0.30380839151080385;0.013000090907037446;0.6502805287707589;0.01751369356971475;0.015397295241685028;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";6.111432367117403e-17;2.0926388864192067e-16;5.870842981739531e-17;2.184015362865558e-16;2.410829728629302e-16;7.88571151279976e-16;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8998542712593802;0.22934619410719714;0.9029767535284272;0.6842214355629719;0.9527003440457562;0.8902052539005981;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.015315468003413374;0.018272585435056662;0.008187432020930818;0.035858815167056156;0.057456079571586965;0.011727329116162465;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9846845319965867;0.9817274145649434;0.9918125679790691;0.9641411848329439;0.9425439204284131;0.10979474609940187;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.06085022553073005;0.020037139068921656;0.0871692447057486;0.0008586079723678641;0.0006406665979913975;0.08477794193787978;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1988 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"4. Área não Vegetada";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1. Floresta";0.27035457663726026;0.0022272221888312493;0.04499416791797577;0.0003428255556607011;0.00018638974850149486;0.31810518204822946;0.31810518204822946;-0.01903220246465898;0.8498905138749691;0.014335793024263847;0.15010948612503094;0.01903220246465892
