"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Pampa  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"4. Área não Vegetada";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1. Floresta";0.07211746312034292;0.02040545028533663;0.0029529675515016602;0.0;0.0;0.09547588095718122;0.09547588095718122;-0.0158181603936396;0.7553474489822827;0.05206879379506896;0.24465255101771732;0.015818160393639605
"2. Formação Natural não Florestal";0.006617901372912226;0.5499545182432445;0.0222270321563202;0.0014560391482135815;0.0004957271667093955;0.5807512180873998;0.5807512180873998;0.12111748682199847;0.9469709250966726;0.02214792606642793;0.05302907490332742;0.12111748682199863
"3. Agropecuária";0.0009223560702864637;0.12927985923880078;0.1689834299425855;0.0;0.0;0.29918564525167274;0.29918564525167274;-0.10469392434713388;0.5648112889922839;0.026274997400819976;0.43518871100771606;0.10469392434713395
"4. Área não Vegetada";0.0;0.0;0.0;0.0035167117140202744;0.0;0.0035167117140202744;0.0035167117140202744;0.0014560391482135815;1.0;0.20355893669387531;0.0;0.0014560391482135817
"5. Corpo D'água";0.0;0.0022288771420165394;0.00032829125413140497;0.0;0.018513375593578487;0.02107054398972643;0.02107054398972643;-0.002061441229438549;0.8786377609712037;0.11907005200215932;0.12136223902879628;0.0020614412294385487
"total";0.07965772056354162;0.7018687049093985;0.19449172090453878;0.004972750862233856;0.01900910276028788;1.0;1.0;0;0.8130854986137717;0.02891957991623544;0.18691450138622834;0.12257352597021215
"adj population";0.07965772056354166;0.701868704909398;0.19449172090453865;0.004972750862233855;0.019009102760287878;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.0695965333376126e-15;6.059699862913441e-16;6.828861415838359e-16;4.0345984335356e-15;2.1400881889962912e-15;8.533139283744684e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.9053417874644812;0.7835575434500047;0.8688463917984798;0.7071964414562486;0.9739215904632266;0.8130854986137717;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.06439406237196262;0.016159273557425188;0.043863163025714226;0.12679021884611658;0.13270139052974161;0.028155225230694067;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9356059376280373;0.9838407264425748;0.9561368369742858;0.8732097811538835;0.8672986094702584;0.18691450138622834;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.01508051488639739;0.06159339968831068;0.05101658192390657;0.0;0.0009914543334187884;0.06434097541601672;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1986 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"4. Área não Vegetada";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1. Floresta";0.0717007157388631;0.019439428976268987;0.0026308766385787674;0.0;0.0;0.09377102135371085;0.09377102135371085;-0.0137967914378243;0.7646361818797195;0.05260593590276699;0.2353638181202805;0.013796791437824293
"2. Formação Natural não Florestal";0.006430728098533063;0.547410715206078;0.021100086067114266;0.0009002025909797578;0.000494277446910461;0.5763360094096155;0.5763360094096155;0.11416174929682017;0.9498117526385903;0.02229256314622432;0.0501882473614097;0.11416174929682021
"3. Agropecuária";0.001842786078490387;0.12060047214196758;0.18067854559446303;0.0;0.0;0.303121803814921;0.303121803814921;-0.09838496432569119;0.5960592188372601;0.027000906983336702;0.4039407811627399;0.09838496432569127
"4. Área não Vegetada";0.0;0.0;0.0;0.004937457342934814;0.0;0.004937457342934814;0.004937457342934814;0.0009002025909797578;1.0;0.1693847228316414;0.0;0.0009002025909797574
"5. Corpo D'água";0.0;0.0030471423821212228;0.0003273311890736626;0.0;0.018459234507623327;0.021833708078818213;0.021833708078818213;-0.002880196124284424;0.845446611312505;0.11318220139041732;0.15455338868749502;0.0028801961242844246
"total";0.07997422991588655;0.6904977587064357;0.20473683948922972;0.005837659933914572;0.018953511954533788;1.0;1.0;0;0.8231866683899622;0.02927299983990746;0.17681333161003776;0.11506195188779998
"adj population";0.0799742299158866;0.6904977587064354;0.2047368394892297;0.005837659933914573;0.01895351195453378;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.0619704869127188e-15;5.973564391561278e-16;6.687249735352268e-16;3.669838862901695e-15;2.131332115696211e-15;8.12922287820198e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8965477481217992;0.7927769616972921;0.8824916221487716;0.8457939309294251;0.9739215904632266;0.8231866683899622;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.06386427772512464;0.01655698323126602;0.04311617961849402;0.1330721597021002;0.13245886311591512;0.028654917248834663;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9361357222748754;0.983443016768734;0.956883820381506;0.8669278402978998;0.8675411368840849;0.17681333161003776;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.016547028354046922;0.05785058840707502;0.04811658778953337;0.0;0.0009885548938209227;0.06175137972223812;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1987 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"4. Área não Vegetada";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1. Floresta";0.07235039365141951;0.02013839591620094;0.0035266371787964867;0.0;0.0;0.09601542674641694;0.09601542674641694;-0.015408866269312947;0.7535288453437975;0.051536525327586395;0.2464711546562025;0.015408866269312954
"2. Formação Natural não Florestal";0.005586729957727271;0.5548651782306532;0.019995767006838954;0.0008967201445457292;0.0004923653276279107;0.581836760667393;0.581836760667393;0.10466514625448203;0.953644072942723;0.02192566424372623;0.04635592705727698;0.10466514625448209
"3. Agropecuária";0.0026694368679572073;0.10945211341651531;0.1838561422801958;0.0;0.0;0.2959776925646683;0.2959776925646683;-0.08827308119509022;0.6211824299563556;0.028119189210499693;0.37881757004364436;0.08827308119509025
"4. Área não Vegetada";0.0;0.0;0.0;0.004918356719486977;0.0;0.004918356719486977;0.004918356719486977;0.0008967201445457292;1.0;0.17036311560125494;0.0;0.0008967201445457288
"5. Corpo D'água";0.0;0.0020462193585056494;0.0003260649037468283;0.0;0.018879479039782453;0.02125176330203493;0.02125176330203493;-0.001879918934624567;0.8883723562822985;0.11794854906704372;0.11162764371770151;0.0018799189346245665
"total";0.08060656047710399;0.6865019069218751;0.20770461136957807;0.005815076864032706;0.019371844367410365;1.0;1.0;0;0.8348695499215377;0.02937263289168074;0.16513045007846228;0.10556186639902779
"adj population";0.08060656047710404;0.6865019069218747;0.20770461136957813;0.005815076864032707;0.019371844367410365;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.046972433385821e-15;5.916475551657865e-16;6.619984554270801e-16;3.650470709352119e-15;2.0917301862431077e-15;8.042819339573914e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8975745053899229;0.8082500174231817;0.8851808395965384;0.8457939309294251;0.9745834563663835;0.8348695499215377;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.06360727923820864;0.01672042990158893;0.043060803662365026;0.133836283812256;0.12912766068726964;0.028829407726572606;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9363927207617914;0.983279570098411;0.956939196337635;0.866163716187744;0.8708723393127303;0.16513045007846228;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.01651233365136895;0.05394316487347961;0.047696938178764525;0.0;0.000984730655255825;0.059568583679434454;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1988 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"4. Área não Vegetada";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1. Floresta";0.07315339764855718;0.015064047091027216;0.0023269730379666905;0.0;0.0;0.09054441777755108;0.09054441777755108;-0.00829488311692307;0.8079283013148304;0.05581041653254773;0.1920716986851696;0.008294883116923071
"2. Formação Natural não Florestal";0.00678707282374411;0.5384998064837468;0.022355685572718224;0.0008958376844437347;0.0;0.568538402564653;0.568538402564653;0.10855587480821859;0.9471652293927671;0.022547428428199005;0.05283477060723285;0.10855587480821871
