"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Pantanal  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1. Floresta";0.3439946161192071;0.03501168035161037;0.0068915654871219475;0.0;0.38589786195793946;0.38589786195793946;0.01611418342274807;0.8914136356544532;0.03859125198278843;0.1085863643455468;0.016114183422748007
"2. Formação Natural não Florestal";0.0515934542276491;0.4597755870630298;0.0156764079694372;0.0004358153029670406;0.527481264563083;0.527481264563083;-0.0072690122783363245;0.8716434458461104;0.02972279372799929;0.12835655415388958;0.0072690122783360955
"3. Agropecuária";0.005136805537162957;0.009957758430532395;0.03144007130071377;0.0;0.046534635268409126;0.046534635268409126;0.007473409488863802;0.675627328319417;0.06581155962844731;0.32437267168058304;0.007473409488863797
"5. Corpo D'água";0.0012871694966682962;0.015467226439574284;0.0;0.023331842274326758;0.040086238210569336;0.040086238210569336;-0.016318580633275542;0.582041202064577;0.058949730031799985;0.417958797935423;0.01631858063327554
"total";0.40201204538068747;0.5202122522847469;0.05400804475727292;0.023767657577293797;1.0;1.0;0;0.8585421167572771;0.03599608829668932;0.1414578832427229;0.02358759291161172
"adj population";0.4020120453806874;0.5202122522847459;0.05400804475727292;0.023767657577293794;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.0058427604973992e-15;9.803538455512605e-16;2.207191639744199e-15;3.0975913987248336e-15;7.290979644517693e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8556823609438358;0.8838230646120265;0.5821368176169707;0.9816635147342667;0.8585421167572773;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.03644664121041829;0.030244380003347685;0.05478543082918764;0.10430011325544211;0.03582330919815113;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9635533587895817;0.9697556199966523;0.9452145691708124;0.8956998867445579;0.14145788324272268;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.08380649167746468;0.12087333044343418;0.030189127935390705;0.0008716306059340789;0.11787029033111182;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1986 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1. Floresta";0.3441609994871426;0.03405026244539123;0.008537054208553347;0.0;0.3867483161410872;0.3867483161410872;0.010660127623207102;0.8898836404024354;0.038602721165830814;0.1101163595975646;0.010660127623207116
"2. Formação Natural não Florestal";0.04892258132369786;0.4599324857947449;0.016615955050176025;0.00043664748334661666;0.5259076696519653;0.5259076696519653;-0.006288442092933881;0.8745498731728296;0.029909925793374748;0.12545012682717038;0.006288442092933888
"3. Agropecuária";0.0030352356330399363;0.010139718527769345;0.03400627798613898;0.0;0.04718123214694826;0.04718123214694826;0.011978055097920094;0.7207585821460695;0.06720514984068376;0.27924141785393053;0.01197805509792009
"5. Corpo D'água";0.0012896273204138686;0.015496760791126062;0.0;0.023376393948459976;0.0401627820599999;0.0401627820599999;-0.016349740628193315;0.582041202064577;0.05896724572667367;0.417958797935423;0.016349740628193308
"total";0.3974084437642943;0.5196192275590314;0.05915928724486835;0.023813041431806594;1.0;1.0;0;0.8614761572164862;0.03619850719770849;0.13852384278351382;0.0226381827211272
"adj population";0.39740844376429435;0.5196192275590307;0.05915928724486836;0.02381304143180659;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.0112444140223103e-15;9.831500699701862e-16;2.119849273016382e-15;3.103787607049278e-15;7.218031364058157e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8660133041643847;0.8851336929068776;0.5748256878988814;0.9816635147342667;0.8614761572164863;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.03711856278891313;0.030324033121282692;0.05115851606486077;0.10424838713297394;0.03601715344856344;NaN;NaN;NaN;NaN;NaN;NaN
