"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Amazônia  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1. Floresta Natural";"1.2. Floresta Plantada";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2. Agricultura";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.9021265808950985;5.301639818791148e-05;0.00035375796808013733;0.006309536542559606;8.769654022282278e-05;0.0;0.0010754761358191542;0.910006064479968;0.910006064479968;0.007311258709795921;0.9913412845337767;0.0019370270951966232;0.008658715466223321;0.007311258709795876
"1.2. Floresta Plantada";0.0;1.7681933718154903e-05;0.0;5.304580115446471e-05;0.0;0.0;0.0;7.072773487261961e-05;7.072773487261961e-05;4.243515367598603e-05;0.25000000000000006;0.22876338516305178;0.75;4.243515367598601e-05
"2.2. Formação Campestre (Campo)";0.00908104462424135;0.0;0.02668962214044114;0.001761641026112212;0.0;0.0;0.0006377994990357328;0.03817010728983043;0.03817010728983043;-0.010930760310030771;0.6992283762207809;0.022519920938221808;0.30077162377921907;0.010930760310030766
"3.1. Pastagem";0.0059917634507787015;4.246455664253924e-05;0.0001959668712783883;0.030817048111325112;0.0;0.00011629348164603833;3.554558015551614e-05;0.0371990820518263;0.0371990820518263;0.0018442566171460667;0.8284357143111855;0.022253361705908067;0.17156428568881454;0.0018442566171460659
"3.2. Agricultura";4.166554508747534e-05;0.0;0.0;7.652945093103843e-05;0.000211860102816741;5.254298671389351e-05;0.0;0.0003825980855491483;0.0003825980855491483;-8.304144250958448e-05;0.5537406244797469;0.10954737446366335;0.4462593755202531;8.304144250958448e-05
"4.1. Infraestrutura Urbana";0.0;0.0;0.0;0.0;0.0;0.0003618715154825823;0.0;0.0003618715154825823;0.0003618715154825823;0.00016883646835993185;1.0;0.10738077490537776;0.0;0.00016883646835993185
"5.1. Rio, Lago e Oceano";7.626867455802388e-05;0.0;0.0;2.553773688993164e-05;0.0;0.0;0.01370774243103407;0.013809548842482025;0.013809548842482025;0.0016470148035624477;0.9926278249485768;0.03995922366053142;0.00737217505142318;0.001647014803562448
"total";0.9173173231897639;0.00011316288854860562;0.027239346979799666;0.03904333866897237;0.0002995566430395638;0.0005307079838425141;0.015456563646044473;0.9999999999999998;0.9999999999999998;0;0.9739324071299162;0.004098868256485996;0.026067592870083756;0.011013801752540329
"adj population";0.9173173231897527;0.00011316288854860562;0.027239346979799642;0.03904333866897238;0.00029955664303956385;0.0005307079838425141;0.015456563646044459;0.9999999999999998;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";7.852627663190605e-18;1.5978041413409497e-16;1.312797228212346e-17;1.0704733862217479e-17;1.1299454367632651e-16;9.910947110337591e-17;1.9552466797577057e-17;4.23122229518906e-16;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.9834400355137269;0.15625205352159402;0.9798187218009963;0.7893036088078027;0.7072455501805035;0.6818655955814046;0.8868557555832954;0.9739324071299162;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.0018912803119591536;0.14304715670469617;0.034884334133075616;0.02121576951895112;0.14830401224434006;0.07113347142114312;0.03462049643007411;0.004146943238468568;NaN;NaN;NaN;NaN;NaN;NaN
