"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Caatinga  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1. Floresta Natural";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2. Agricultura";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.623339515415556;0.010620038009686488;0.04951967880956766;0.0015764612758574293;0.0;0.0;0.0017952640599242992;0.6868509575705918;0.6868509575705918;0.025238093147031085;0.9075324254046652;0.009031896713296303;0.09246757459533483;0.025238093147031182
"2.2. Formação Campestre (Campo)";0.02503052131351477;0.006461428472270762;0.005187408614064771;0.00011442839130943967;0.0;0.00010283345534234937;0.0;0.036896620246502095;0.036896620246502095;-0.0002976594557861506;0.17512250252469463;0.010442998709064122;0.8248774974753054;0.00029765945578615755
"3.1. Pastagem";0.020002114263501354;0.003554068306163806;0.12141971955477185;0.0009694569973993664;0.0;0.00013057488787376165;0.0;0.14607593400971014;0.14607593400971014;0.03725989694612844;0.8312096060032773;0.02415244710288074;0.1687903939967227;0.03725989694612836
"3.2. Agricultura";0.0006038118193757695;0.00010634564987892278;0.0071053297437588155;0.0007602170418453442;0.0;0.0;0.0;0.008575704254858851;0.008575704254858851;-0.00515514054844727;0.08864776807276416;0.009516671599762395;0.9113522319272358;0.005155140548447271
"3.3 Mosaico de Agricultura ou Pastagem";0.042940828807952185;0.015561169203232625;0.0;0.0;0.04874089098949051;0.0005862089882598863;0.0006547584441047862;0.10848385643304;0.10848385643304;-0.05974296544354952;0.4492916512382199;0.01532943379013996;0.5507083487617801;0.059742965443549484
"4.1. Infraestrutura Urbana";0.00012057452793095788;0.0;0.0;0.0;0.0;0.0011945977203185272;0.0;0.001315172248249485;0.001315172248249485;0.0006990428035450394;0.9083203526447241;0.06141813688880253;0.0916796473552759;0.0006990428035450395
"5.1. Rio, Lago e Oceano";5.1684569791942004e-05;0.0002959111494833374;0.00010369423367541218;0.0;0.0;0.0;0.011350465284097272;0.011801755237047963;0.011801755237047963;0.0019987325510783943;0.9617607767754744;0.05431898056835654;0.038239223224525554;0.0019987325510783943
"total";0.712089050717623;0.03659896079071594;0.1833358309558385;0.0034205637064115796;0.04874089098949051;0.0020142150517945246;0.013800487788126358;0.9999999999999999;0.9999999999999999;0;0.8132668344783501;0.01258341253117128;0.18673316552164987;0.06519576544778297
"adj population";0.7120890507176224;0.03659896079071595;0.18333583095583858;0.0034205637064115796;0.04874089098949056;0.002014215051794524;0.013800487788126353;0.9999999999999999;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";7.861593475463515e-17;1.7149076307712577e-16;9.307417610851409e-17;5.535996045550904e-16;1.5835325618583857e-16;7.717180085715816e-16;3.16831419022534e-16;2.1436831622753198e-15;NaN;NaN;NaN;NaN;NaN;NaN
