"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Cerrado  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1. Floresta Natural";"1.2. Floresta Plantada";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2. Agricultura";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.4951734727748407;0.0033920561598870832;0.03401651143582763;0.0377342355437078;0.000650307347123807;0.00037615898942718507;0.0008992571771593025;0.5722419994279736;0.5722419994279736;0.00507126233249082;0.8653217926503602;0.007480547099541316;0.13467820734963976;0.005071262332490778
"1.2. Floresta Plantada";0.000612243744528827;0.005332707514610392;0.0;7.12798185445439e-05;0.0;0.0;0.0;0.006016231077683763;0.006016231077683763;0.003939076280377369;0.886386750401129;0.05270860312548014;0.11361324959887098;0.003939076280377368
"2.2. Formação Campestre (Campo)";0.03820272957310062;0.00031234130750204113;0.050701910802767376;0.013124640834400486;0.00017556254795930468;0.00017717762685311682;0.00040280762565977045;0.1030971703182427;0.1030971703182427;-0.002773666423193759;0.49178760819777706;0.012388477634401257;0.508212391802223;0.0027736664231937797
"3.1. Pastagem";0.03906710146670009;0.0008670354340937778;0.012160147737629612;0.2117723247703455;0.00775930038895135;0.001134391074799043;4.631894761704193e-05;0.27280661982013643;0.27280661982013643;-0.0017927350853910798;0.7762726758975582;0.011425532253424544;0.22372732410244178;0.0017927350853911284
"3.2. Agricultura";0.0039699873504260245;5.116694196783683e-05;0.003366858672791557;0.008311403767746951;0.02336482406902834;6.28377308204036e-05;0.0;0.03912707853278111;0.03912707853278111;-0.007177084179718317;0.597152277787697;0.02001333890179088;0.402847722212303;0.007177084179718303
"4.1. Infraestrutura Urbana";0.0;0.0;0.0;0.0;0.0;0.0011001982363267686;0.0;0.0011001982363267686;0.0011001982363267686;0.0017505654218997486;1.0;0.05853278398070623;0.0;0.0017505654218997486
"5.1. Rio, Lago e Oceano";0.00028772685086812404;0.0;7.807524603275092e-05;0.0;0.0;0.0;0.005244900489958758;0.0056107025868596325;0.0056107025868596325;0.00098258165353524;0.9348028003199476;0.05061329524364043;0.06519719968005244;0.0009825816535352404
"total";0.5773132617604644;0.009955307358061131;0.10032350389504892;0.2710138847347453;0.031949994353062804;0.002850763658226517;0.006593284240394873;1.0;1.0;0;0.7926903386578773;0.010123405482771153;0.2073096613421227;0.011743485688303171
"adj population";0.5773132617604618;0.009955307358061135;0.10032350389504896;0.27101388473474386;0.031949994353062804;0.002850763658226517;0.006593284240394869;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";2.288103799114385e-17;1.119044600373236e-16;3.659897704941877e-17;2.550155177337289e-17;6.484309499935648e-17;2.166078291678995e-16;1.4891064581541226e-16;6.272475968339273e-16;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8577205922220701;0.5356647788772014;0.5053841705509812;0.7814076573147433;0.7312935273426282;0.38593105856106313;0.7954913361424624;0.7926903386578774;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.007413247293828156;0.02980231868687636;0.012833825339642953;0.011668941335685367;0.024677896416069087;0.022105560446089342;0.041651409583701844;0.010152532628425366;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9925867527061718;0.9701976813131237;0.987166174660357;0.9883310586643146;0.9753221035839309;0.9778944395539106;0.9583485904162982;0.2073096613421226;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.15413705330626581;0.001367047126146742;0.09924318618456308;0.11848311992879962;0.017170340568068924;0.0;0.0007316041938017492;0.19556617565382298;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1986 "
" ";"1.1. Floresta Natural";"1.2. Floresta Plantada";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2. Agricultura";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.48930170895564257;0.0034428466145488314;0.0342207657571446;0.044189596442310186;0.0007398867097143173;0.0004898839882400092;0.0008754820155931022;0.5732601704831937;0.5732601704831937;-0.01280127990299261;0.8535421334840272;0.007417053456902704;0.1464578665159728;0.012801279902992735
"1.2. Floresta Plantada";0.0006094634641712538;0.005359694958564822;0.0;7.095612739839216e-05;0.0;0.0;0.0;0.006040114550134468;0.006040114550134468;0.004224488197601555;0.8873498861781524;0.05277197930679925;0.11265011382184764;0.004224488197601556
"2.2. Formação Campestre (Campo)";0.03775181085483919;0.0002832851075217315;0.05103729674519388;0.014323548015875041;0.00027926379160112924;4.622346462114203e-05;0.00035402783886838174;0.1040754558185205;0.1040754558185205;-0.00508933651963011;0.4903874438387204;0.01227235735551952;0.5096125561612797;0.005089336519630144
"3.1. Pastagem";0.030582360865830785;0.0011787760671006378;0.011348468009672104;0.2201321182839539;0.008121737408151744;0.0010737295136962744;4.610860710904339e-05;0.27248329875551447;0.27248329875551447;0.014329346684629471;0.8078738010341946;0.011739987099430365;0.1921261989658054;0.01432934668462954
"3.2. Agricultura";0.001907460070280672;0.0;0.0023018680909341416;0.008045363340826756;0.024684428285305114;6.255237631858034e-05;0.0;0.03700167216366526;0.03700167216366526;-0.0031763559688929577;0.6671165610062514;0.022597334643417014;0.3328834389937486;0.0031763559688929577
"4.1. Infraestrutura Urbana";0.0;0.0;0.0;5.1063229779713244e-05;0.0;0.0013652459425374268;0.0;0.00141630917231714;0.00141630917231714;0.001621326113096293;0.9639462690930882;0.055301127087516694;0.036053730906911774;0.0016213261130962927
"5.1. Rio, Lago e Oceano";0.00030608636943653704;0.0;7.772069594563717e-05;0.0;0.0;0.0;0.005339171991275932;0.005722979056658107;0.005722979056658107;0.0008918113961883531;0.9329357906813142;0.050079912231505444;0.06706420931868584;0.0008918113961883531
"total";0.5604588905802009;0.010264602747736024;0.09898611929889035;0.286812645440144;0.033825316194772304;0.003037635285413433;0.00661479045284646;0.9999999999999997;0.9999999999999997;0;0.7972196651624731;0.010247920677822896;0.2027803348375269;0.021066972391515792
"adj population";0.5604588905801992;0.010264602747736024;0.09898611929889042;0.28681264544014196;0.0338253161947723;0.0030376352854134332;0.0066147904528464545;0.9999999999999997;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";2.2608809946184048e-17;1.1061686977167815e-16;3.650782894414604e-17;2.4884599694952758e-17;6.25352167908207e-17;2.0700091825715414e-16;1.4728122921866088e-16;6.114354726235967e-16;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8730376432232256;0.5221531792593692;0.5156005418404767;0.7675118994357368;0.729761937572666;0.44944366728068613;0.8071566332049707;0.797219665162473;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.0076998521385378445;0.028753577412736132;0.013027842374807178;0.011172582435139827;0.02444994202344755;0.025185683360808484;0.04220620107473288;0.010287325237325928;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9923001478614621;0.9712464225872639;0.9869721576251929;0.9888274175648601;0.9755500579765525;0.9748143166391915;0.9577937989252672;0.202780334837527;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.14231436324911673;0.001360839183139291;0.09589764510739295;0.10470236094312113;0.01828177581893438;0.00010212645955942666;0.0007676141307643488;0.18171336244601413;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1987 "
" ";"1.1. Floresta Natural";"1.2. Floresta Plantada";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2. Agricultura";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.48133545666525396;0.004040120839731876;0.03415440859222979;0.0495979450495603;0.0007592268404784679;0.0003728429539880331;0.000796131375539081;0.5710561323167814;0.5710561323167814;-0.02568946160594525;0.8428864159333511;0.0073934359405264894;0.15711358406664888;0.025689461605945207
"1.2. Floresta Plantada";0.0005458467729188412;0.005382616203127538;0.0;0.00017439250065152118;0.0;0.0;0.0;0.0061028554766979;0.0061028554766979;0.004456317802079544;0.8819832328783795;0.05188024229378482;0.11801676712162046;0.004456317802079546
"2.2. Formação Campestre (Campo)";0.03739360732686556;0.00028552219347103387;0.04973901815517753;0.014202668618524206;0.0005489775635120926;4.6024986539322644e-05;0.0003525076852636015;0.10256832652935334;0.10256832652935334;-0.005916199043796061;0.48493545559547674;0.01228379857395822;0.5150645444045232;0.005916199043796075
"3.1. Pastagem";0.024656550905708854;0.0007609752422583301;0.011091044635270707;0.2304209277917617;0.00829639510904875;0.00104044185881954;4.591062221177585e-05;0.2763122461650796;0.2763122461650796;0.025632605315710252;0.8339150037313185;0.011899737931749178;0.16608499626868145;0.025632605315710377
"3.2. Agricultura";0.001266370330231607;8.993880018866603e-05;0.0015902691303958077;0.007498073549972671;0.02645109779526162;6.22837838241251e-05;0.0;0.036958033389874495;0.036958033389874495;-0.000902336081573564;0.7157063125146834;0.02388683052687248;0.2842936874853166;0.000902336081573564
"4.1. Infraestrutura Urbana";0.0;0.0;0.0;5.084397031958302e-05;0.0;0.0013598797300954997;0.0;0.0014107237004150827;0.0014107237004150827;0.001470749612851438;0.9639589451112057;0.05445476870970654;0.03604105488879428;0.001470749612851438
"5.1. Rio, Lago e Oceano";0.0001688387098574173;0.0;7.738697248342179e-05;0.0;0.0;0.0;0.005345456739462534;0.005591682421803373;0.005591682421803373;0.0009483240006736195;0.9559657248450407;0.05151589537240847;0.04403427515495928;0.0009483240006736187
"total";0.5453666707108362;0.010559173278777445;0.09665212748555727;0.30194485148079;0.03605569730830093;0.0028814733132665206;0.006540006422476992;1.0;1.0;0;0.8000344530801397;0.010334347973003135;0.19996554691986035;0.03250799673131491
"adj population";0.5453666707108328;0.010559173278777444;0.09665212748555731;0.3019448514807881;0.03605569730830095;0.0028814733132665206;0.0065400064224769875;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";2.236087673482747e-17;1.0723347826580213e-16;3.6555045459882305e-17;2.4340696965597673e-17;6.041755013757079e-17;2.0936724934070998e-16;1.468319253321141e-16;6.071068222365045e-16;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8825905258161014;0.5097573513587368;0.5146189685541075;0.7631225591750848;0.7336177017764097;0.47193903335301113;0.8173473226403912;0.8000344530801395;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.007932533151127907;0.02763863020413366;0.013190945846311766;0.010805682092442504;0.02412049522147689;0.0266672489728099;0.04266933837216435;0.010381213322473529;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.992067466848872;0.9723613697958663;0.9868090541536882;0.9891943179075575;0.9758795047785231;0.9733327510271901;0.9573306616278356;0.19996554691986046;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.12806242809116453;0.0014404785471407236;0.09382621866075946;0.09178263674663578;0.01920919902607862;0.000101687940639166;0.0004924513646816786;0.16745755018854996;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1988 "
" ";"1.1. Floresta Natural";"1.2. Floresta Plantada";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2. Agricultura";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.47130309585159125;0.0039225053212026606;0.03385578129694556;0.05326848860397508;0.0010377254257365647;0.0002526862921770391;0.0007955443528284836;0.5644358271444565;0.5644358271444565;-0.0343681325508718;0.8349985475513935;0.007438196385000742;0.16500145244860653;0.03436813255087179
"1.2. Floresta Plantada";0.0005454442960638212;0.005591650348744966;0.0;0.00015000078648484474;0.0;0.0;0.0;0.006287095431293632;0.006287095431293632;0.004394599839853893;0.8893853147055584;0.05317863924705784;0.11061468529444163;0.004394599839853894
"2.2. Formação Campestre (Campo)";0.03649137634926862;0.00024372239419242326;0.049773823877491394;0.01469655472848822;0.0007738532083871514;4.5991050290628474e-05;0.0003522477658291115;0.10237756937394754;0.10237756937394754;-0.0067374537963948225;0.4861789958666238;0.012317421738428121;0.5138210041333762;0.0067374537963948156
"3.1. Pastagem";0.02081006491097172;0.0008703701665023105;0.010551214179196102;0.2390870136670714;0.009198751560848362;0.001205202323758236;0.0;0.28172261680834815;0.28172261680834815;0.03377443749150928;0.848661056665247;0.011909302281005237;0.15133894333475295;0.03377443749150938
"3.2. Agricultura";0.0007489989680453804;5.344704050516521e-05;0.0013819663122577805;0.008108217011718592;0.02764246332675678;6.223785924844568e-05;0.0;0.037997330518532144;0.037997330518532144;0.0006554630031967122;0.7274843508618305;0.02385153078884268;0.2725156491381695;0.0006554630031967157
"4.1. Infraestrutura Urbana";0.0;0.0;0.0;5.080648082200565e-05;0.0;0.0013588770309056748;0.0;0.0014096835117276805;0.0014096835117276805;0.0015153110446523433;0.9639589451112057;0.055292237996836226;0.03604105488879428;0.0015153110446523433
"5.1. Rio, Lago e Oceano";0.0001687142176439969;0.0;7.732991166186906e-05;0.00013597302129734118;0.0;0.0;0.00538786006109733;0.005769877211700537;0.005769877211700537;0.000765774968054388;0.9337911126031367;0.04988653200927703;0.06620888739686326;0.0007657749680543878
"total";0.5300676945935847;0.010681695271147526;0.09564011557755273;0.3154970542998575;0.03865279352172886;0.002924994556380024;0.006535652179754925;1.0;1.0;0;0.800144784163658;0.01042094942958227;0.19985521583634203;0.04110558634726666
"adj population";0.5300676945935805;0.010681695271147526;0.09564011557755273;0.31549705429985553;0.038652793521728866;0.002924994556380024;0.0065356521797549205;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";2.226469364432605e-17;1.0637231848757782e-16;3.6621713591748854e-17;2.4002778906081542e-17;5.844365469823637e-17;2.0872967002545016e-16;1.4638513490377224e-16;6.028199642571931e-16;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8891375585772112;0.5234796731047597;0.5204283116652112;0.7578106052294101;0.715147879576089;0.4645742085029459;0.8243798649179895;0.8001447841636581;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.008168764031257564;0.02886178096278109;0.013329155669391475;0.010484671090335046;0.023050349256239326;0.02608963844792251;0.042845621631094;0.01046827202127957;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9918312359687425;0.9711382190372189;0.9866708443306085;0.989515328909665;0.9769496507437607;0.9739103615520774;0.957154378368906;0.19985521583634192;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.11752919748398694;0.0013908901650973322;0.09173258340012266;0.08527120628255347;0.020709734383550726;0.00010161296164401144;0.0007640343012064142;0.15874962948908078;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1989 "
" ";"1.1. Floresta Natural";"1.2. Floresta Plantada";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2. Agricultura";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.4613950808827179;0.004251873845284034;0.03325748781816872;0.05634798431198476;0.0010686392766993725;0.0002736870597987635;0.0007929453076211847;0.5573876985022749;0.5573876985022749;-0.04042099961257429;0.8277812411764852;0.007480668720421466;0.17221875882351478;0.040420999612574615
"1.2. Floresta Plantada";0.0005843275565571858;0.00537839268877226;0.0;0.0002719787159916198;0.0;0.0;0.0;0.006234698961321066;0.006234698961321066;0.004454386089526453;0.86265475240085;0.05050139833592321;0.13734524759915;0.0044543860895264525
"2.2. Formação Campestre (Campo)";0.0355568035887291;0.0003289534669850939;0.048642516461157886;0.015338455466536158;0.0005415152846393309;4.584079742488754e-05;0.00035109697157822544;0.10080518203705069;0.10080518203705069;-0.007316150248439589;0.4825398404943061;0.012365138187819345;0.5174601595056939;0.007316150248439582
