"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para BRASIL  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1. Floresta Natural";"1.2. Floresta Plantada";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"2.5. Outra Formação não Florestal";"3.1. Pastagem";"3.2. Agricultura";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.6699049886800548;0.0014375123530473335;2.450431780194334e-05;0.010099207219473903;0.0033663435780463304;0.02185513627350351;0.0009248038065245232;0.0;0.0001464723932705438;0.0009811162060859066;0.7087400848278088;0.7087400848278088;0.0014486687147616042;0.9452054469909258;0.0027399489060036778;0.05479455300907421;0.0014486687147614585
"1.2. Floresta Plantada";0.00038119065399787284;0.002438030446745379;0.0;1.4284937265639799e-05;1.176045850107843e-05;9.718779296318547e-05;0.0;0.0;0.0;0.0;0.0029424542894731552;0.0029424542894731552;0.001475648700693998;0.8285703725178025;0.026325107402718855;0.17142962748219748;0.0014756487006939972
"2.1. Área Úmida Natural não Florestal";0.0004920632425417687;0.0;0.00415551430572766;0.00025541868117222994;0.0001334747768432463;8.745247511792049e-05;0.0;0.0;6.722571969887416e-06;8.906376344276553e-06;0.00513955242971699;0.00513955242971699;-0.0002686031331799538;0.8085362222788888;0.033844991619427334;0.19146377772111123;0.00026860313317995325
"2.2. Formação Campestre (Campo)";0.016281253567650696;7.751983166570568e-05;0.0003380960906475018;0.04349988031648676;2.7117490103483024e-06;0.0065840525646433225;0.000643188004675848;0.0;9.281807281302631e-05;0.0004320777371095684;0.06795159793470278;0.06795159793470278;-0.004566782284694006;0.6401597848852281;0.00971606924433329;0.35984021511477193;0.004566782284693982
"2.5. Outra Formação não Florestal";0.0;0.0;0.0;8.07260584945255e-06;0.00014040892781762168;4.197951857591424e-05;0.0;0.0;0.0;0.0;0.00019046105224298848;0.00019046105224298848;0.004587988459562759;0.737205460980491;0.0741378475373204;0.262794539019509;0.004587988459562758
"3.1. Pastagem";0.01500282422480764;0.00025849241917363014;0.0;0.0034816017125723067;0.0006566225816816928;0.1209742597887658;0.0035017203306128186;0.0;0.0005467616778637621;4.6302421155936567e-05;0.1444685851566336;0.1444685851566336;0.010412511393364805;0.8373741575554622;0.00813291562583707;0.16262584244453782;0.010412511393364854
"3.2. Agricultura";0.0010909083645862158;3.106872478733927e-05;5.802348886781137e-05;0.004044118058483403;0.0;0.005186833204643789;0.01841182757458346;0.0;5.3903884614762304e-05;0.0;0.02887668330056678;0.02887668330056678;-0.005386674587303236;0.6376018804840398;0.012823023661849084;0.36239811951596024;0.005386674587303256
"3.3 Mosaico de Agricultura ou Pastagem";0.00688977922824429;0.00017547921474776534;0.0;0.0018876258922385905;0.0003019866391165028;0.0;0.0;0.01720367524993379;0.00048115126632331055;0.00012766790681195572;0.027067365397416207;0.027067365397416207;-0.009863690147482418;0.6355873575924761;0.011905587968953735;0.3644126424075239;0.009863690147482417
"4.1. Infraestrutura Urbana";1.4703358686198146e-05;0.0;0.0;0.0;9.978134346308146e-06;2.105527446471117e-05;0.0;0.0;0.001988650251954529;0.0;0.0020343870194517466;0.0020343870194517466;0.0012820930993580754;0.9775181580201276;0.02930747901397464;0.022481841979872352;0.001282093099358075
"5.1. Rio, Lago e Oceano";0.0001310422220008284;0.0;0.0002948110934921189;9.460622646651149e-05;0.0001551626664426183;3.313965732030635e-05;8.468996866874578e-06;0.0;0.0;0.011871597729381652;0.01258882859197091;0.01258882859197091;0.0008788397849183858;0.9430264017537978;0.021823134820995526;0.056973598246202184;0.0008788397849183865
