"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Mata Atlântica  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1. Floresta Natural";"1.2. Floresta Plantada";"2.2. Formação Campestre (Campo)";"2.5. Outra Formação não Florestal";"3.1. Pastagem";"3.2. Agricultura";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.2671708635143611;0.0045245621467531515;0.0011775467457705502;0.0013104903658555111;0.04150781606357952;0.0038209977378068855;0.0;0.0005153022278485555;0.00044070780448842556;0.32046828660646365;0.32046828660646365;-0.020889145327935184;0.8336889317302345;0.01415357227448303;0.1663110682697655;0.020889145327935066
"1.2. Floresta Plantada";0.0018059036981251764;0.009471194911152826;0.0;0.0;0.0004475813732240851;0.0;0.0;0.0;0.0;0.011724679982502087;0.011724679982502087;0.004156795013702097;0.8077998653513474;0.045963333006976255;0.1922001346486526;0.004156795013702098
"2.2. Formação Campestre (Campo)";4.4367108787676286e-05;0.0;0.0020033538824056228;2.2241813873179712e-05;0.016072763424132393;0.00015566918581738794;0.0;4.328110086369178e-05;0.0;0.01834167651587995;0.01834167651587995;-0.01155371906438663;0.10922414211542486;0.011172189437636088;0.8907758578845751;0.011553719064386628
"2.5. Outra Formação não Florestal";0.0;0.0;6.621165752799658e-05;0.001151636536690816;0.0003443167620189335;0.0;0.0;0.0;0.0;0.001562164956237746;0.001562164956237746;0.005211587004002215;0.7372054609804909;0.0919992642270912;0.2627945390195091;0.005211587004002215
"3.1. Pastagem";0.009931673528652499;0.00036304035620640543;0.0019878983640650434;0.0016707834403077732;0.37202804905735354;0.013030833138645885;0.0;0.0018240452572726616;0.00014817512307688097;0.40098449826558064;0.40098449826558064;0.05073784308650545;0.9277866118678507;0.01373493115788885;0.07221338813214928;0.05073784308650542
"3.2. Agricultura";0.0009078265869559752;8.339392488850628e-05;6.114855035621585e-05;0.0;0.021070512908405243;0.07079254417757597;0.0;0.00011004437414026821;0.0;0.09302547052232217;0.09302547052232217;-0.005225426282476055;0.7610017318922216;0.025958564290103344;0.23899826810777836;0.005225426282476034
"3.3 Mosaico de Agricultura ou Pastagem";0.019699664037873568;0.0014392836572032983;0.0014536620393907802;0.0024768998140257963;0.0;0.0;0.09925618491026775;0.0034517019260838187;0.0004945753161651962;0.1282719717010102;0.1282719717010102;-0.029015786790742456;0.7737948017328714;0.021457884267336497;0.2262051982671286;0.02901578679074246
"4.1. Infraestrutura Urbana";1.8842803772569844e-05;0.0;0.0;8.184083633302855e-05;0.00017269573766071701;0.0;0.0;0.011054350720423177;0.0;0.011327730098189492;0.011327730098189492;0.00567099550844268;0.9758663584498709;0.0607125266253144;0.024133641550129092;0.0056709955084426784
"5.1. Rio, Lago e Oceano";0.0;0.0;3.813621197711468e-05;5.9859153153856206e-05;7.860602571165397e-05;0.0;0.0;0.0;0.014116919960974429;0.014293521351817053;0.014293521351817053;0.0009068568528878778;0.9876446547708011;0.060852788537318694;0.0123553452291989;0.0009068568528878777
"total";0.2995791412785286;0.015881474996204185;0.0067879574514933235;0.006773751960239961;0.45172234135208605;0.08780004423984614;0.09925618491026775;0.01699872560663217;0.01520037820470493;0.9999999999999999;0.9999999999999999;0;0.8470450976712048;0.017655594145013748;0.15295490232879516;0.06668407746554024
"adj population";0.2995791412785305;0.015881474996204174;0.006787957451493325;0.006773751960239962;0.4517223413520812;0.08780004423984614;0.09925618491026747;0.01699872560663217;0.015200378204704915;0.9999999999999999;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";6.401750779711042e-17;2.2489329390059635e-16;3.0411938557503346e-16;3.0411938557503346e-16;5.845032053453572e-17;1.0146258926519108e-16;9.484235015104639e-17;2.316589927648813e-16;2.530037562762341e-16;1.6365675818396622e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8918206467050513;0.5963674604163985;0.29513353563595085;0.17001457145915616;0.823576819211124;0.806292807600299;1.0;0.6503046743757217;0.9287216259267058;0.8470450976712046;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.015412848755188484;0.03239464535143721;0.03226703091226287;0.01857180867664637;0.011942849262445853;0.027630338016038793;0.028937876835734247;0.03633162840295758;0.05610325250869512;0.017640112827487654;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9845871512448116;0.9676053546485628;0.9677329690877371;0.9814281913233537;0.9880571507375542;0.9723696619839612;0.9710621231642658;0.9636683715970424;0.9438967474913049;0.15295490232879538;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.06481655552833498;0.004506970142698522;0.009569207138175401;0.0008210568390938601;0.057912898416454195;0.03401500012454034;0.0;0.0005467587555326309;0.00035320278168524816;0.08627082486325759;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1986 "
" ";"1.1. Floresta Natural";"1.2. Floresta Plantada";"2.2. Formação Campestre (Campo)";"2.5. Outra Formação não Florestal";"3.1. Pastagem";"3.2. Agricultura";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.2626540318850831;0.004854783570839218;0.0011547452908285292;0.001285114653904939;0.043707908427493086;0.004563027124376202;0.0;0.00038953394621518163;0.00031498871574709054;0.31892413361448735;0.31892413361448735;-0.02514607363075423;0.8235627354641568;0.013956839944615301;0.17643726453584319;0.025146073630754218
"1.2. Floresta Plantada";0.001770935038112036;0.00943307424863099;0.0;0.0;0.0004732742163231426;0.0;0.0;0.0;0.0;0.011677283503066169;0.011677283503066169;0.004664614208816632;0.8078140987288777;0.04527594337530627;0.19218590127112234;0.004664614208816635
"2.2. Formação Campestre (Campo)";4.35080052017138e-05;0.0;0.001885038531134397;2.1811133971358694e-05;0.015742073089857485;0.00015265488176616866;0.0;0.0;0.0;0.017845085641931123;0.017845085641931123;-0.011378686023589454;0.10563348189851589;0.010895508607677813;0.8943665181014842;0.011378686023589444
"2.5. Outra Formação não Florestal";8.439929498929404e-05;0.0;9.739434973985751e-05;0.0010181995485136377;0.0004093351965184223;0.0;0.0;0.0;0.0;0.0016093283897612115;0.0016093283897612115;0.005194946804100645;0.6326860042932045;0.08159786333758064;0.36731399570679546;0.005194946804100645
"3.1. Pastagem";0.009383853276701321;0.0003201894967753142;0.0019494056459285034;0.0013510246028302392;0.36962859477710724;0.01366769146405175;0.0;0.0015006052377402948;8.839792643235584e-05;0.397889762427567;0.397889762427567;0.05340018220108329;0.9289723679291576;0.01369765464820897;0.0710276320708424;0.05340018220108328
"3.2. Agricultura";0.0004520396647355035;8.177912460341079e-05;5.9964498919850336e-05;0.0;0.02088444788760011;0.07132079332136781;0.0;0.00010791352723538352;0.0;0.09290693802446207;0.09290693802446207;-0.0032027712329001576;0.7676584207585152;0.025861644979474397;0.2323415792414848;0.0032027712329001368
"3.3 Mosaico de Agricultura ou Pastagem";0.01925408963202918;0.001652071271033869;0.001282453541278032;0.002989169076334417;0.0;0.0;0.10377368225570642;0.003991942635742504;0.0004568507990127725;0.1334002592111372;0.1334002592111372;-0.029626576955430767;0.777912148517344;0.02095131234775229;0.22208785148265597;0.02962657695543079
"4.1. Infraestrutura Urbana";1.8477940685185193e-05;0.0;0.0;8.025610931580619e-05;0.00028974419393360386;0.0;0.0;0.011211123888408529;0.0;0.011599602132343125;0.011599602132343125;0.00560151710299877;0.9665093475187909;0.05943625967128256;0.03349065248120908;0.005601517102998768
"5.1. Rio, Lago e Oceano";0.00011672524619583681;0.0;3.7397760512509326e-05;5.870006899145886e-05;0.00015456683981714524;0.0;0.0;0.0;0.01378021713973148;0.01414760705524843;0.01414760705524843;0.0004928475256752686;0.9740316567966413;0.060053602981266795;0.025968343203358724;0.0004928475256752683
"total";0.29377805998373313;0.016341897711882804;0.006466399618341679;0.0068042751938618565;0.4512899446286503;0.08970416679156193;0.10377368225570642;0.017201119235341893;0.014640454580923699;1.0000000000000002;1.0000000000000002;0;0.8447047555956835;0.017492467196989575;0.15529524440431652;0.0693541078426746
"adj population";0.2937780599837353;0.016341897711882786;0.006466399618341679;0.0068042751938618565;0.4512899446286452;0.08970416679156186;0.10377368225570596;0.017201119235341893;0.014640454580923681;1.0000000000000002;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";6.254648800426548e-17;2.1489527758558375e-16;2.9882704589342063e-16;2.9313246710141515e-16;5.669711296072122e-17;9.723229317310411e-17;9.02335403066599e-17;2.2282265577645543e-16;2.473818424098973e-16;1.5837687232115229e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.894055981919231;0.5772324863942729;0.2915128421366911;0.1496411475879395;0.8190490374902104;0.7950666716195021;1.0;0.6517671167219075;0.9412424363985873;0.8447047555956828;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.015465685162577845;0.031104163194423273;0.03196295545580178;0.01729894294494742;0.011810997973920517;0.026771653185361247;0.028069797188059777;0.0358581260915692;0.057441661600786106;0.017478563666876234;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9845343148374222;0.9688958368055767;0.9680370445441983;0.9827010570550526;0.9881890020260795;0.9732283468146388;0.9719302028119402;0.9641418739084308;0.9425583383992139;0.1552952444043172;NaN;NaN;NaN;NaN;NaN;NaN
