"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Pantanal  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1. Floresta Natural";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.3 Mosaico de Agricultura ou Pastagem";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.3439946161192071;0.0013562324302477864;0.03365544792136259;0.0068915654871219475;0.0;0.0;0.38589786195793946;0.38589786195793946;0.01611418342274807;0.8914136356544532;0.03859125198278843;0.1085863643455468;0.016114183422748007
"2.1. Área Úmida Natural não Florestal";0.02581044984348926;0.22338582298028242;0.0;0.0;0.0;0.0;0.2491962728237717;0.2491962728237717;0.006333245756280605;0.8964252171550652;0.04727655122223081;0.10357478284493482;0.006333245756280609
"2.2. Formação Campestre (Campo)";0.02578300438415989;0.015320236729947779;0.22106952735279928;0.0156764079694372;0.0;0.0004358153029670406;0.2782849917393112;0.2782849917393112;-0.013602258034616906;0.7943997481541885;0.04335120692984943;0.20560025184581154;0.013602258034616899
"3.1. Pastagem";0.0012762700231879766;0.0;0.0039088643928601235;0.026611267604464296;0.0;0.0;0.0317964020205124;0.0317964020205124;0.01738283904051105;0.8369270078827448;0.0862786721942768;0.16307299211725523;0.01738283904051105
"3.3 Mosaico de Agricultura ou Pastagem";0.0038605355139749798;0.0;0.006048894037672269;0.0;0.004828803696249478;0.0;0.014738233247896727;0.014738233247896727;-0.00990942955164725;0.3276378935676425;0.07807792109025943;0.6723621064323575;0.00990942955164725
"5.1. Rio, Lago e Oceano";0.0012871694966682962;0.015467226439574284;0.0;0.0;0.0;0.023331842274326758;0.040086238210569336;0.040086238210569336;-0.016318580633275542;0.582041202064577;0.058949730031799985;0.417958797935423;0.01631858063327554
"total";0.40201204538068747;0.2555295185800523;0.2646827337046943;0.04917924106102345;0.004828803696249478;0.023767657577293797;1.0;1.0;0;0.8432218800273293;0.044994567129270344;0.15677811997267066;0.03983026821953968
"adj population";0.4020120453806874;0.25552951858005196;0.264682733704694;0.04917924106102345;0.004828803696249478;0.023767657577293794;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.0058427604973992e-15;1.075344881198809e-15;1.1266639354125704e-15;2.298955825404998e-15;7.506067404814212e-15;3.0975913987248336e-15;1.611046620605282e-14;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8556823609438358;0.8742075053465892;0.8352245885424692;0.5411077322532091;1.0;0.9816635147342667;0.8432218800273293;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.03644664121041829;0.045874751791512854;0.04588363369963013;0.0524046731683413;0.28485817976860034;0.10430011325544211;0.04495066328341575;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9635533587895817;0.9541252482084871;0.9541163663003699;0.9475953268316587;0.7151418202313997;0.8956998867445579;0.15677811997267066;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.08380649167746468;0.05162089968697853;0.08722641270379006;0.010370268832096206;0.0;0.0008716306059340789;0.11694785175313177;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1986 "
" ";"1.1. Floresta Natural";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.3441609994871426;0.0013588221282480935;0.03269144031714315;0.008537054208553347;0.0;0.38674831614108723;0.38674831614108723;0.010660127623207102;0.8898836404024354;0.038602721165830814;0.1101163595975646;0.010660127623207116
"2.1. Área Úmida Natural não Florestal";0.009314615128982885;0.15909958976967514;0.0;0.0;0.0;0.16841420489865802;0.16841420489865802;0.04796587767668886;0.9446922239451958;0.05657018222795838;0.05530777605480419;0.04796587767668886
"2.2. Formação Campestre (Campo)";0.03960796619471501;0.0404249098862976;0.26040798613877186;0.016615955050176025;0.00043664748334661666;0.3574934647533071;0.3574934647533071;-0.05425431976962276;0.728427263190586;0.03584357993794355;0.27157273680941396;0.05425431976962275
"3.1. Pastagem";0.0030352356330399363;0.0;0.010139718527769345;0.03400627798613898;0.0;0.04718123214694826;0.04718123214694826;0.011978055097920094;0.7207585821460695;0.06720514984068376;0.27924141785393053;0.01197805509792009
"5.1. Rio, Lago e Oceano";0.0012896273204138686;0.015496760791126062;0.0;0.0;0.023376393948459976;0.0401627820599999;0.0401627820599999;-0.016349740628193315;0.582041202064577;0.05896724572667367;0.417958797935423;0.016349740628193308
"total";0.39740844376429435;0.21638008257534688;0.30323914498368437;0.05915928724486835;0.023813041431806594;1.0;1.0;0;0.8210512473301885;0.042809715666322946;0.17894875266981147;0.07060406039781607
"adj population";0.39740844376429435;0.21638008257534672;0.3032391449836839;0.05915928724486836;0.02381304143180659;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.0112444140223103e-15;1.1310610345089703e-15;1.0778741559318922e-15;2.119849273016382e-15;3.103787607049278e-15;8.443816484528832e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8660133041643847;0.7352783485248657;0.8587545191528057;0.5748256878988814;0.9816635147342667;0.8210512473301886;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.03711856278891313;0.04225011398644623;0.04382750785651846;0.05115851606486077;0.10424838713297394;0.04269250194398947;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9628814372110869;0.9577498860135538;0.9561724921434815;0.9488414839351392;0.8957516128670261;0.17894875266981136;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.08517463330788921;0.018629230257965756;0.08566231768982502;0.02634990832161857;0.000873294966693236;0.10834469227199589;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1987 "
" ";"1.1. Floresta Natural";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.3413837957178276;0.0013568008257622995;0.03289275685671658;0.009138162569508092;0.0;0.38477151596981457;0.38477151596981457;0.00948712419902123;0.8872377022435549;0.03842673112663525;0.11276229775644508;0.009487124199021257
"2.1. Área Úmida Natural não Florestal";0.013665923026735463;0.20220785041214;0.0;0.0;0.0;0.21587377343887548;0.21587377343887548;0.028672268394473024;0.9366948434307842;0.05448307427193745;0.06330515656921576;0.02867226839447304
"2.2. Formação Campestre (Campo)";0.0367694241757227;0.024603562251047893;0.22912587195274783;0.018766509496262764;0.00043599795267946297;0.30970136582846064;0.30970136582846064;-0.03716692431165102;0.739828419354332;0.038294153248528494;0.26017158064566803;0.03716692431165103
"3.1. Pastagem";0.0011517883005664619;0.0;0.010515812707345222;0.036978585838885816;0.0;0.0486461868467975;0.0486461868467975;0.016237071057859175;0.7601538421776672;0.06714067417903481;0.23984615782233276;0.016237071057859168
"5.1. Rio, Lago e Oceano";0.0012877089479835777;0.01637782834439829;0.0;0.0;0.023341620623670338;0.04100715791605221;0.04100715791605221;-0.017229539339702414;0.5692084457902234;0.057133342140306825;0.43079155420977655;0.017229539339702407
"total";0.3942586401688358;0.24454604183334852;0.2725344415168096;0.06488325790465667;0.0237776185763498;0.9999999999999999;0.9999999999999999;0;0.8330377245452716;0.0440157437498599;0.16696227545472841;0.05439646365135345
"adj population";0.3942586401688358;0.24454604183334835;0.2725344415168093;0.06488325790465667;0.023777618576349798;0.9999999999999999;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.0097142930567867e-15;1.0913224958959757e-15;1.1108993527507914e-15;2.044184548553708e-15;3.0966195276480214e-15;8.352740217905283e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.865887924667002;0.8268702649864976;0.8407226282209749;0.5699249241341172;0.9816635147342667;0.8330377245452714;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.03708472754458274;0.04665578057754312;0.04452714246927625;0.04840647945977004;0.10409232229551581;0.04378147825415994;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9629152724554173;0.9533442194224568;0.9554728575307238;0.9515935205402299;0.8959076777044842;0.16696227545472864;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.0867754405039739;0.027331846053470943;0.08681713912812355;0.02333520201582337;0.0008719959053589271;0.11256581180337535;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1988 "
" ";"1.1. Floresta Natural";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.3389954737974004;0.001359747315456015;0.033241270352803935;0.010064587444142242;0.0;0.3836610789098026;0.3836610789098026;0.006052938440673485;0.8835805674129824;0.03833440656031756;0.11641943258701759;0.006052938440673561
"2.1. Área Úmida Natural não Florestal";0.017813937895744123;0.21486901326507798;0.0;0.0006663105285732543;0.0;0.23334926168939535;0.23334926168939535;0.02204493623493165;0.920804341567123;0.050945168421332225;0.07919565843287701;0.022044936234931645
"2.2. Formação Campestre (Campo)";0.030459810686843124;0.023241212893432155;0.2171559660398223;0.01795381011910178;0.0004369447854419867;0.28924774452464136;0.28924774452464136;-0.02741342346857146;0.7507611386795878;0.04027170912246082;0.24923886132041218;0.027413423468571507
"3.1. Pastagem";0.0011542895758402695;0.0;0.01143708466344364;0.040543500455090184;0.0;0.05313487469437409;0.05313487469437409;0.01609333385253337;0.7630299438606359;0.06467623951820566;0.23697005613936406;0.01609333385253337
"5.1. Rio, Lago e Oceano";0.0012905053946481843;0.015924224450360857;0.0;0.0;0.023392310336778094;0.04060704018178714;0.04060704018178714;-0.016777785059567056;0.5760653874810086;0.058052195415546036;0.42393461251899145;0.016777785059567056
"total";0.38971401735047617;0.255394197924327;0.26183432105606985;0.06922820854690746;0.023829255122220082;1.0;1.0;0;0.8349562638941689;0.04403782996426566;0.16504373610583112;0.04419120852813857
"adj population";0.3897140173504761;0.2553941979243267;0.26183432105606963;0.06922820854690746;0.02382925512222008;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.0142566283799969e-15;1.0813679520877668e-15;1.128605560570229e-15;2.010144210299618e-15;3.1011763276138274e-15;8.335550678951438e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8698570200325545;0.8413230018982004;0.8293640236465407;0.5856500017275303;0.9816635147342667;0.8349562638941689;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.03747722190332192;0.0454447929963328;0.04544159828364582;0.0484689503530421;0.10408578376132822;0.04394561049745043;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9625227780966781;0.9545552070036672;0.9545584017163542;0.9515310496469579;0.8959142162386717;0.16504373610583112;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.08933121022480439;0.03696049684863473;0.08935671003249512;0.025182748478567815;0.0008738895708839747;0.12085252757769302;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1989 "
" ";"1.1. Floresta Natural";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.3407493417325594;0.0013584084302020688;0.027671496474087124;0.010719913160816606;0.0;0.3804991597976652;0.3804991597976652;0.009186861353259995;0.8955324419474585;0.039004784542353135;0.10446755805254149;0.009186861353260023
"2.1. Área Úmida Natural não Florestal";0.02177567874951568;0.22047476305372107;0.0;0.0016789882976078099;0.0;0.24392943010084456;0.24392943010084456;0.018434447144496904;0.90384650578068;0.047665767438205775;0.09615349421931996;0.018434447144496935
"2.2. Formação Campestre (Campo)";0.02371954883964996;0.024419373332247144;0.21513230034198574;0.016902549431490145;0.0008976585797218982;0.2810714305250949;0.2810714305250949;-0.027455894577149142;0.7654008091113268;0.041223311375083616;0.2345991908886732;0.027455894577149198
