"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Amazônia  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"1.2. Floresta Plantada";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2.1. Lavoura Temporária";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1.1. Formação Florestal";0.896536628577577;0.0030801948047390905;5.301639818791148e-05;0.0003085480493568717;0.0054552530178735344;3.807325825531969e-05;0.0;0.0010754761358191542;0.9065471902418089;0.9065471902418089;-0.0016867709550252557;0.9889574842082277;0.001994120537491653;0.01104251579177229;0.0016867709550252297
"1.1.2. Formação Savânica";0.0010788767945864516;0.001430880718197997;0.0;4.5209918723265596e-05;0.0008542835246860703;4.96232819675031e-05;0.0;0.0;0.0034588742381612874;0.0034588742381612874;0.008998029664821178;0.41368393866746733;0.03176507779785164;0.5863160613325327;0.008998029664821175
"1.2. Floresta Plantada";0.0;0.0;1.7681933718154903e-05;0.0;5.304580115446471e-05;0.0;0.0;0.0;7.072773487261961e-05;7.072773487261961e-05;4.243515367598603e-05;0.25000000000000006;0.22876338516305178;0.75;4.243515367598601e-05
"2.2. Formação Campestre (Campo)";0.0017249341735629715;0.0073561104506783765;0.0;0.02668962214044114;0.001761641026112212;0.0;0.0;0.0006377994990357328;0.03817010728983043;0.03817010728983043;-0.010930760310030771;0.6992283762207809;0.022519920938221808;0.30077162377921907;0.010930760310030766
"3.1. Pastagem";0.005402045521411703;0.0005897179293669979;4.246455664253924e-05;0.0001959668712783883;0.030817048111325112;0.0;0.00011629348164603833;3.554558015551614e-05;0.0371990820518263;0.0371990820518263;0.0018442566171460667;0.8284357143111855;0.022253361705908067;0.17156428568881454;0.001844256617146059
"3.2.1. Lavoura Temporária";4.166554508747534e-05;0.0;0.0;0.0;7.652945093103843e-05;0.000211860102816741;5.254298671389351e-05;0.0;0.0003825980855491483;0.0003825980855491483;-8.304144250958448e-05;0.5537406244797469;0.10954737446366335;0.4462593755202531;8.304144250958448e-05
"4.1. Infraestrutura Urbana";0.0;0.0;0.0;0.0;0.0;0.0;0.0003618715154825823;0.0;0.0003618715154825823;0.0003618715154825823;0.00016883646835993185;1.0;0.10738077490537776;0.0;0.00016883646835993185
"5.1. Rio, Lago e Oceano";7.626867455802388e-05;0.0;0.0;0.0;2.553773688993164e-05;0.0;0.0;0.01370774243103407;0.013809548842482025;0.013809548842482025;0.0016470148035624477;0.9926278249485768;0.03995922366053142;0.00737217505142318;0.001647014803562448
"total";0.9048604192867836;0.012456903902982463;0.00011316288854860562;0.027239346979799666;0.03904333866897236;0.0002995566430395638;0.0005307079838425141;0.015456563646044473;1.0;1.0;0;0.9697733355305926;0.004253797632329775;0.03022666446940736;0.01270057270756559
"adj population";0.9048604192867703;0.012456903902982465;0.00011316288854860562;0.027239346979799642;0.03904333866897238;0.00029955664303956385;0.0005307079838425141;0.015456563646044459;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";7.403533732772137e-18;1.9725121800973637e-17;1.5978041413409497e-16;1.312797228212346e-17;1.0704733862217479e-17;1.1299454367632651e-16;9.910947110337591e-17;1.9552466797577057e-17;4.4239825738946113e-16;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.9908010224209304;0.11486648121732815;0.15625205352159402;0.9798187218009963;0.7893036088078027;0.7072455501805035;0.6818655955814046;0.8868557555832954;0.9697733355305928;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.0020160607122766032;0.00757728949230154;0.14304715670469617;0.034884334133075616;0.02121576951895112;0.14830401224434006;0.07113347142114312;0.03462049643007411;0.004330682153769594;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9979839392877234;0.9924227105076985;0.8569528432953039;0.9651156658669244;0.9787842304810489;0.8516959877556599;0.9288665285788569;0.9653795035699259;0.03022666446940725;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.01664758141841327;0.004055987039926581;0.00010609160230892943;0.0010994496787170502;0.01276406788100238;0.00017539308044564557;0.0;0.00020361282289590998;0.017526091761854885;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1986 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"1.2. Floresta Plantada";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2.1. Lavoura Temporária";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1.1. Formação Florestal";0.8988443793745768;0.00036983182146829697;8.952988378154189e-05;1.0422236565733189e-05;0.007437443720816485;3.474319560253183e-05;0.0;0.0005832834573231926;0.9073696336901346;0.9073696336901346;-0.002442022081971337;0.9906044306542559;0.0018913543056752115;0.009395569345744148;0.0024420220819713068
"1.1.2. Formação Savânica";0.0008170388503521562;0.0011269773523516573;0.0;0.0;0.000755424448296874;2.264150050246434e-05;0.0;0.0;0.002722082151503152;0.002722082151503152;-0.0011563477947244894;0.4140129833074042;0.03345574089519878;0.5859870166925958;0.0011563477947244892
"1.2. Floresta Plantada";0.0;0.0;1.6135390296285543e-05;0.0;9.068265138559838e-05;0.0;0.0;0.0;0.00010681804168188393;0.00010681804168188393;7.409601788672437e-05;0.15105491583845487;0.11148880342491647;0.8489450841615451;7.409601788672437e-05
"2.2. Formação Campestre (Campo)";0.0016194480048151534;4.6283682456244135e-05;2.0389815649466978e-05;0.03538346925023723;0.001588303569142931;0.0;0.0;0.000530123318914801;0.03918801764121582;0.03918801764121582;-0.003748882873417154;0.9029155180593477;0.024877725608073067;0.09708448194065233;0.003748882873417153
"3.1. Pastagem";0.0032832172911671257;2.264150050246434e-05;5.4858969841313896e-05;4.52432809957096e-05;0.03159308612769046;0.0;7.544784807821982e-05;0.0;0.035074495018275295;0.035074495018275295;0.006468049361044434;0.9007424372390576;0.02339474436509129;0.09925756276094244;0.006468049361044434
"3.2.1. Lavoura Temporária";3.802128447091873e-05;0.0;0.0;0.0;6.98358324160482e-05;0.0002060133816873089;0.0;0.0;0.00031387049857427583;0.00031387049857427583;-5.0472420781970784e-05;0.6563642732372215;0.12201867911039377;0.34363572676277854;5.0472420781970764e-05
"4.1. Infraestrutura Urbana";1.0633687833613298e-05;0.0;0.0;0.0;7.768029571332324e-06;0.0;0.00044866146153887357;0.0;0.0004670631789438192;0.0004670631789438192;5.7046130673274185e-05;0.960601224342801;0.09332681037300732;0.03939877565719896;5.704613067327417e-05
"5.1. Rio, Lago e Oceano";0.00031487311494747566;0.0;0.0;0.0;0.0;0.0;0.0;0.014443146664741906;0.014758019779689381;0.014758019779689381;0.000798533661290518;0.9786642707051513;0.036027351982882316;0.021335729294848726;0.0007985336612905177
"total";0.9049276116081633;0.0015657343567786627;0.0001809140595686083;0.03543913476779867;0.04154254437931973;0.00026339807779230507;0.0005241093096170934;0.0155565534409799;0.9999999999999999;0.9999999999999999;0;0.9820618690031201;0.004228183302570395;0.01793813099687991;0.007397725170894935
"adj population";0.9049276116081447;0.001565734356778663;0.00018091405956860828;0.035439134767798836;0.041542544379319805;0.00026339807779230507;0.0005241093096170934;0.015556553440979873;0.9999999999999999;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";6.446400316591099e-18;4.1638064107800745e-17;1.0828482874455162e-16;1.0266501425972344e-17;9.049608383228251e-18;1.0828482874455162e-16;8.682997393586199e-17;1.6859391460004748e-17;3.8765959711856243e-16;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.9932776587258997;0.7197755784514412;0.08918815007943867;0.9984292642039324;0.7604995456998973;0.7821369974072279;0.8560455868770181;0.9284284413985298;0.9820618690031204;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.0019225804312453538;0.060839738385410715;0.06579946559794958;0.02846213652474022;0.019380051597862796;0.15423759940059364;0.08102128067867753;0.03377804254047258;0.004269288999113923;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9980774195687546;0.9391602616145893;0.9342005344020504;0.9715378634752598;0.9806199484021372;0.8457624005994063;0.9189787193213225;0.9662219574595274;0.017938130996879575;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.012166464467172844;0.0008775140088540107;0.00018136530277119677;0.000111331035122883;0.006962817781169667;0.00011476939220999232;3.680343480989129e-05;0.0006297462298949508;0.010540405826002717;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1987 "
