"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Caatinga  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2.1. Lavoura Temporária";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"3.2.2. Lavoura Perene";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1.1. Formação Florestal";0.0070902259520523505;0.03976414355659499;0.000708646983702408;0.0028241859856125797;0.0;0.0;0.0;0.000821616487635347;0.00039966449614091225;0.05160848346173858;0.05160848346173858;-0.03043037883889759;0.13738489249173333;0.0073604872496898606;0.8626151075082666;0.03043037883889759
"1.1.2. Formação Savânica";0.01344791172653362;0.5630372341803745;0.00991139102598408;0.04669549282395506;8.95705506438417e-05;0.0;0.0;0.0009736475722889523;0.0010872262290726755;0.6352424741088526;0.6352424741088526;0.05566847198592867;0.8863343638509514;0.010249777522260835;0.11366563614904857;0.055668471985928836
"2.2. Formação Campestre (Campo)";0.0;0.02503052131351477;0.006461428472270762;0.005187408614064771;0.0;0.0;0.00010283345534234937;0.0;0.00011442839130943967;0.036896620246502095;0.036896620246502095;-0.0002976594557861506;0.17512250252469463;0.010442998709064122;0.8248774974753054;0.0002976594557861506
"3.1. Pastagem";0.0004173578074009594;0.0195847564561004;0.003554068306163806;0.12141971955477185;6.430850033393923e-05;0.0;0.00013057488787376165;0.0;0.0009051484970654273;0.14607593400971014;0.14607593400971014;0.03725989694612844;0.8312096060032773;0.02415244710288074;0.1687903939967227;0.03725989694612836
"3.2.1. Lavoura Temporária";0.0;0.0005196252991338768;0.00010634564987892278;0.006982629109014309;0.00011442839130943967;0.0;0.0;0.0;0.0005036943822120854;0.008226722831548633;0.008226722831548633;-0.007958415389261411;0.013909352928558457;0.0026562582789081547;0.9860906470714416;0.007958415389261411
"3.3 Mosaico de Agricultura ou Pastagem";0.00010203460892310468;0.04283879419902908;0.015561169203232625;0.0;0.0;0.04874089098949051;0.0005862089882598863;0.0006547584441047862;0.0;0.10848385643304;0.10848385643304;-0.05974296544354952;0.4492916512382199;0.01532943379013996;0.5507083487617801;0.059742965443549484
"4.1. Infraestrutura Urbana";0.00012057452793095788;0.0;0.0;0.0;0.0;0.0;0.0011945977203185272;0.0;0.0;0.001315172248249485;0.001315172248249485;0.0006990428035450394;0.9083203526447241;0.06141813688880253;0.0916796473552759;0.0006990428035450395
"5.1. Rio, Lago e Oceano";0.0;5.1684569791942004e-05;0.0002959111494833374;0.00010369423367541218;0.0;0.0;0.0;0.011350465284097272;0.0;0.011801755237047963;0.011801755237047963;0.0019987325510783943;0.9617607767754744;0.05431898056835654;0.038239223224525554;0.0019987325510783943
"3.2.2. Lavoura Perene";0.0;8.418652024189276e-05;0.0;0.00012270063474450666;0.0;0.0;0.0;0.0;0.00014209426832381916;0.0003489814233102186;0.0003489814233102186;0.0028032748408141402;0.4071685735475607;0.060908796847569155;0.5928314264524392;0.0028032748408141407
"total";0.02117810462284099;0.6909109460947814;0.036598960790715944;0.1833358309558385;0.0002683074422872206;0.04874089098949051;0.0020142150517945246;0.013800487788126358;0.003152256264124359;0.9999999999999999;0.9999999999999999;0;0.7595510848130088;0.013232299419882652;0.24044891518699119;0.0984294191274947
