"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Cerrado  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"1.2. Floresta Plantada";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2.1. Lavoura Temporária";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1.1. Formação Florestal";0.14396733214934673;0.03346837447100355;0.0023799863498983526;0.0007248661663352435;0.00555530929028189;0.00016941253801057137;9.115913641016544e-05;0.0003213181269429368;0.18667775822822946;0.18667775822822946;0.022779721423660255;0.7712077406315033;0.01262514224919144;0.22879225936849668;0.02277972142366011
"1.1.2. Formação Savânica";0.05375143861758055;0.2639863275369081;0.0010120698099887306;0.03329164526949239;0.03217892625342596;0.00048089480911323566;0.0002849998530170197;0.0005779390502163658;0.3855642411997423;0.3855642411997423;-0.017708459091169484;0.6846753389667924;0.008935742886126571;0.31532466103320755;0.01770845909116925
"1.2. Floresta Plantada";0.0004346939805187296;0.00017754976401009734;0.005332707514610392;0.0;7.12798185445439e-05;0.0;0.0;0.0;0.006016231077683763;0.006016231077683763;0.003939076280377369;0.886386750401129;0.05270860312548014;0.11361324959887098;0.003939076280377368
"2.2. Formação Campestre (Campo)";0.00025909505974601536;0.03794363451335459;0.00031234130750204113;0.050701910802767376;0.013124640834400486;0.00017556254795930468;0.00017717762685311682;0.00040280762565977045;0.1030971703182427;0.1030971703182427;-0.002773666423193759;0.49178760819777706;0.012388477634401257;0.508212391802223;0.0027736664231937658
"3.1. Pastagem";0.010112273761243936;0.02895482770545614;0.0008670354340937778;0.012160147737629612;0.2117723247703455;0.00775930038895135;0.001134391074799043;4.631894761704193e-05;0.2728066198201364;0.2728066198201364;-0.0017927350853910798;0.7762726758975582;0.011425532253424544;0.22372732410244178;0.0017927350853910728
"3.2.1. Lavoura Temporária";0.0006705687224059545;0.0032994186280200693;5.116694196783683e-05;0.003366858672791557;0.008311403767746951;0.02336482406902834;6.28377308204036e-05;0.0;0.03912707853278111;0.03912707853278111;-0.007177084179718317;0.597152277787697;0.02001333890179088;0.402847722212303;0.007177084179718303
"4.1. Infraestrutura Urbana";0.0;0.0;0.0;0.0;0.0;0.0;0.0011001982363267686;0.0;0.0011001982363267686;0.0011001982363267686;0.0017505654218997486;1.0;0.05853278398070623;0.0;0.0017505654218997481
"5.1. Rio, Lago e Oceano";0.0002620773610476458;2.5649489820478236e-05;0.0;7.807524603275092e-05;0.0;0.0;0.0;0.005244900489958758;0.0056107025868596325;0.0056107025868596325;0.00098258165353524;0.9348028003199476;0.05061329524364043;0.06519719968005244;0.0009825816535352404
"total";0.20945747965188957;0.36785578210857306;0.009955307358061131;0.10032350389504893;0.2710138847347453;0.031949994353062804;0.0028507636582265168;0.006593284240394873;1.0;1.0;0;0.7054705255692914;0.011644858431551455;0.29452947443070865;0.02945194477947243
"adj population";0.20945747965188993;0.36785578210857195;0.009955307358061135;0.10032350389504896;0.27101388473474386;0.031949994353062804;0.002850763658226517;0.006593284240394869;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";2.8191704940213806e-17;2.3433969422450482e-17;1.119044600373236e-16;3.659897704941877e-17;2.550155177337289e-17;6.484309499935648e-17;2.166078291678995e-16;1.4891064581541226e-16;6.559922332054478e-16;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.6873344050000747;0.7176353896728801;0.5356647788772014;0.5053841705509812;0.7814076573147433;0.7312935273426282;0.38593105856106313;0.7954913361424624;0.7054705255692916;NaN;NaN;NaN;NaN;NaN;NaN
