"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para BRASIL  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"1.2. Floresta Plantada";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"2.5. Outra Formação não Florestal";"3.1. Pastagem";"3.2.1. Lavoura Temporária";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"3.2.2. Lavoura Perene";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1.1. Formação Florestal";0.5217249157602565;0.014017126053802483;0.001169852829026663;2.450431780194334e-05;0.0011774246238980084;0.0033407404844129846;0.008354146866120935;0.00037210389957057866;0.0;5.9791342351524575e-05;0.0007356123560620208;0.00023023738783770745;0.5512064559211414;0.5512064559211414;-0.004421433561306282;0.9465145231080112;0.0031935089604331196;0.05348547689198879;0.004421433561306198
"1.1.2. Formação Savânica";0.014748551803409227;0.11941439506261187;0.0002676595240206707;0.0;0.008921782595575899;2.5603093633345233e-05;0.013500989407382586;0.000162530414757463;0.0;8.668105091901921e-05;0.0002455038500238857;0.000159932104358774;0.15753362890669276;0.15753362890669276;0.005870102276067879;0.7580247842404577;0.006854228000072804;0.24197521575954228;0.005870102276067823
"1.2. Floresta Plantada";0.0003417090809275675;3.948157307030536e-05;0.002438030446745379;0.0;1.4284937265639799e-05;1.176045850107843e-05;9.718779296318547e-05;0.0;0.0;0.0;0.0;0.0;0.0029424542894731552;0.0029424542894731552;0.001475648700693998;0.8285703725178025;0.026325107402718855;0.17142962748219748;0.001475648700693998
"2.1. Área Úmida Natural não Florestal";0.00021242939920484302;0.0002796338433369257;0.0;0.00415551430572766;0.00025541868117222994;0.0001334747768432463;8.745247511792049e-05;0.0;0.0;6.722571969887416e-06;8.906376344276553e-06;0.0;0.00513955242971699;0.00513955242971699;-0.0002686031331799538;0.8085362222788888;0.033844991619427334;0.19146377772111123;0.0002686031331799541
"2.2. Formação Campestre (Campo)";0.0012274280881090184;0.015053825479541696;7.751983166570568e-05;0.0003380960906475018;0.04349988031648676;2.7117490103483024e-06;0.0065840525646433225;0.0006259923002942108;0.0;9.281807281302631e-05;0.0004320777371095684;1.7195704381637057e-05;0.06795159793470279;0.06795159793470279;-0.004566782284694006;0.6401597848852281;0.00971606924433329;0.35984021511477193;0.004566782284693996
"2.5. Outra Formação não Florestal";0.0;0.0;0.0;0.0;8.07260584945255e-06;0.00014040892781762168;4.197951857591424e-05;0.0;0.0;0.0;0.0;0.0;0.00019046105224298848;0.00019046105224298848;0.004587988459562759;0.737205460980491;0.0741378475373204;0.262794539019509;0.004587988459562758
"3.1. Pastagem";0.005836549488141446;0.009166274736666199;0.00025849241917363014;0.0;0.0034816017125723067;0.0006566225816816928;0.1209742597887658;0.0028638162105993578;0.0;0.0005467616778637621;4.6302421155936567e-05;0.0006379041200134717;0.1444685851566336;0.1444685851566336;0.010412511393364805;0.8373741575554622;0.00813291562583707;0.16262584244453782;0.010412511393364854
"3.2.1. Lavoura Temporária";0.00028588133026057424;0.0007963650078900194;3.106872478733927e-05;5.802348886781137e-05;0.004044118058483403;0.0;0.005160267543233658;0.018281584806887068;0.0;5.3903884614762304e-05;0.0;0.00011562256121874078;0.028826835406243374;0.028826835406243374;-0.0065123387772678155;0.6341863249730003;0.012777975080918791;0.3658136750269997;0.006512338777267819
"3.3 Mosaico de Agricultura ou Pastagem";0.0022728333532836273;0.004616945874960665;0.00017547921474776534;0.0;0.0018876258922385905;0.0003019866391165028;0.0;0.0;0.01720367524993379;0.00048115126632331055;0.00012766790681195572;0.0;0.027067365397416207;0.027067365397416207;-0.009863690147482418;0.6355873575924761;0.011905587968953735;0.3644126424075239;0.009863690147482417
"4.1. Infraestrutura Urbana";1.4703358686198146e-05;0.0;0.0;0.0;0.0;9.978134346308146e-06;2.105527446471117e-05;0.0;0.0;0.001988650251954529;0.0;0.0;0.0020343870194517466;0.0020343870194517466;0.0012820930993580754;0.9775181580201276;0.02930747901397464;0.022481841979872352;0.001282093099358075
