"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Mata Atlântica  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"1.2. Floresta Plantada";"2.2. Formação Campestre (Campo)";"2.5. Outra Formação não Florestal";"3.1. Pastagem";"3.2.1. Lavoura Temporária";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"3.2.2. Lavoura Perene";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1.1. Formação Florestal";0.25433616897677314;0.003842551447123916;0.004175102726398253;0.0007985240097076292;0.0011579164464303627;0.03301492348658004;0.001960619789920857;0.0;0.0003241467930701433;0.00030284320468049723;0.001415056869603442;0.30132785375028825;0.30132785375028825;-0.014530239146614755;0.8440513076084333;0.014741229629108126;0.15594869239156672;0.014530239146614665
"1.1.2. Formação Savânica";0.005022114051246563;0.003970029039216597;0.00034945942035489677;0.0003790227360629208;0.00015257391942514851;0.00849289257699948;0.00017501178244640837;0.0;0.00019115543477841215;0.0001378645998079283;0.00027030929583617917;0.019140432856174533;0.019140432856174533;-0.006358906181320423;0.20741584419998627;0.01597559991633972;0.7925841558000137;0.006358906181320425
"1.2. Floresta Plantada";0.0018059036981251764;0.0;0.009471194911152826;0.0;0.0;0.0004475813732240851;0.0;0.0;0.0;0.0;0.0;0.011724679982502087;0.011724679982502087;0.004156795013702097;0.8077998653513474;0.045963333006976255;0.1922001346486526;0.004156795013702098
"2.2. Formação Campestre (Campo)";4.4367108787676286e-05;0.0;0.0;0.0020033538824056228;2.2241813873179712e-05;0.016072763424132393;0.00011119731371846356;0.0;4.328110086369178e-05;0.0;4.44718720989244e-05;0.018341676515879955;0.018341676515879955;-0.01155371906438663;0.10922414211542486;0.011172189437636088;0.8907758578845751;0.011553719064386632
"2.5. Outra Formação não Florestal";0.0;0.0;0.0;6.621165752799658e-05;0.001151636536690816;0.0003443167620189335;0.0;0.0;0.0;0.0;0.0;0.001562164956237746;0.001562164956237746;0.005211587004002215;0.7372054609804909;0.0919992642270912;0.2627945390195091;0.005211587004002215
"3.1. Pastagem";0.006528299423612679;0.00340337410503982;0.00036304035620640543;0.0019878983640650434;0.0016707834403077732;0.37202804905735354;0.009282807323499072;0.0;0.0018240452572726616;0.00014817512307688097;0.0037480258151468032;0.40098449826558064;0.40098449826558064;0.05073784308650545;0.9277866118678507;0.01373493115788885;0.07221338813214928;0.05073784308650542
"3.2.1. Lavoura Temporária";0.0008322720881229496;7.555449883302562e-05;8.339392488850628e-05;6.114855035621585e-05;0.0;0.0209561695346745;0.07060288256951393;0.0;0.00011004437414026821;0.0;0.00018966160806205306;0.09291112714859144;0.09291112714859144;-0.010778608369492718;0.7598969546091044;0.025935915785075172;0.24010304539089555;0.01077860836949271
"3.3 Mosaico de Agricultura ou Pastagem";0.01820964645323282;0.00149001758464075;0.0014392836572032983;0.0014536620393907802;0.0024768998140257963;0.0;0.0;0.09925618491026775;0.0034517019260838187;0.0004945753161651962;0.0;0.1282719717010102;0.1282719717010102;-0.029015786790742456;0.7737948017328714;0.021457884267336497;0.2262051982671286;0.02901578679074246
"4.1. Infraestrutura Urbana";1.8842803772569844e-05;0.0;0.0;0.0;8.184083633302855e-05;0.00017269573766071701;0.0;0.0;0.011054350720423177;0.0;0.0;0.011327730098189492;0.011327730098189492;0.00567099550844268;0.9758663584498709;0.0607125266253144;0.024133641550129092;0.005670995508442682
"5.1. Rio, Lago e Oceano";0.0;0.0;0.0;3.813621197711468e-05;5.9859153153856206e-05;7.860602571165397e-05;0.0;0.0;0.0;0.014116919960974429;0.0;0.014293521351817053;0.014293521351817053;0.0009068568528878778;0.9876446547708011;0.060852788537318694;0.0123553452291989;0.0009068568528878777
