"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Pampa  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1.1. Formação Florestal";"1.2. Floresta Plantada";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.2.1. Lavoura Temporária";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1.1. Formação Florestal";0.06365767817644132;0.004063659061362234;0.0;0.019851710563402358;0.0029529675515016602;0.0;0.0;0.09052601535270757;0.09052601535270757;-0.01904585794609192;0.7031976159385587;0.049167708408399804;0.2968023840614413;0.019045857946091926
"1.2. Floresta Plantada";0.000964004247904679;0.0034321216346347443;0.0;0.00055373972193427;0.0;0.0;0.0;0.004949865604473694;0.004949865604473694;0.0032276975524523207;0.693376731588993;0.2212767213338442;0.30662326841100696;0.0032276975524523207
"2.1. Área Úmida Natural não Florestal";0.0002173839339053912;0.0;0.004628177251694101;0.00633094226713152;0.0;0.0;0.0;0.011176503452731013;0.011176503452731013;-0.0017443811251149736;0.414098852227634;0.07853792486797687;0.585901147772366;0.0017443811251149736
"2.2. Formação Campestre (Campo)";0.0060878947927006455;0.0003126226463061898;0.0019596928457923228;0.5370357058786263;0.0222270321563202;0.0014560391482135815;0.0004957271667093955;0.5695747146346686;0.5695747146346686;0.12286186794711344;0.9428713952358064;0.02233885878855098;0.05712860476419357;0.12286186794711362
"3.2.1. Lavoura Temporária";0.000553196255663617;0.00036915981462284664;0.002249216079415455;0.12703064315938534;0.1689834299425855;0.0;0.0;0.2991856452516728;0.2991856452516728;-0.10469392434713388;0.5648112889922839;0.026274997400819976;0.43518871100771606;0.10469392434713401
"4.1. Infraestrutura Urbana";0.0;0.0;0.0;0.0;0.0;0.0035167117140202744;0.0;0.0035167117140202744;0.0035167117140202744;0.0014560391482135815;1.0;0.20355893669387531;0.0;0.0014560391482135817
"5.1. Rio, Lago e Oceano";0.0;0.0;0.0005950361507141608;0.0016338409913023782;0.00032829125413140497;0.0;0.018513375593578487;0.02107054398972643;0.02107054398972643;-0.002061441229438549;0.8786377609712037;0.11907005200215932;0.12136223902879628;0.0020614412294385487
"total";0.07148015740661565;0.008177563156926014;0.00943212232761604;0.6924365825817822;0.19449172090453878;0.004972750862233856;0.01900910276028788;1.0;1.0;0;0.7997672001915807;0.030233506183533435;0.20023279980841935;0.12754560464777948
"adj population";0.07148015740661566;0.008177563156926014;0.00943212232761604;0.692436582581782;0.19449172090453865;0.004972750862233855;0.019009102760287878;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.1412081816889924e-15;2.8599032074025504e-15;2.6132959069988225e-15;6.000804176530242e-16;6.828861415838359e-16;4.0345984335356e-15;2.1400881889962912e-15;1.4072060477859115e-14;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8905643256256967;0.41969980161240306;0.49068248809108356;0.7755738494870732;0.8688463917984798;0.7071964414562486;0.9739215904632266;0.7997672001915808;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.06478600759539395;0.11590126294001862;0.09787444285936933;0.016264882404868085;0.043863163025714226;0.12679021884611658;0.13270139052974161;0.029448319824932997;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.935213992404606;0.8840987370599813;0.9021255571406307;0.9837351175951319;0.9561368369742858;0.8732097811538835;0.8672986094702584;0.20023279980841924;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.015644958460348662;0.0030354879396778988;0.009607890151843877;0.06507801751208464;0.05101658192390657;0.0;0.0009914543334187884;0.07268719516064022;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1986 "
" ";"1.1.1. Formação Florestal";"1.2. Floresta Plantada";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.2.1. Lavoura Temporária";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1.1. Formação Florestal";0.06345377476827517;0.003863671254017493;0.0;0.01888730862783743;0.0026308766385787674;0.0;0.0;0.08883563128870885;0.08883563128870885;-0.01776619812727879;0.7142829273318873;0.05004155129140031;0.28571707266811275;0.01776619812727878
"1.2. Floresta Plantada";0.0009611850841825834;0.003422084632387905;0.0;0.0005521203484315562;0.0;0.0;0.0;0.004935390065002044;0.004935390065002044;0.003969406689454486;0.693376731588993;0.22075716442847523;0.30662326841100696;0.003969406689454486
