"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Pantanal  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.3 Mosaico de Agricultura ou Pastagem";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1.1. Formação Florestal";0.21721422205103136;0.025494128059305;0.0013562324302477864;0.009860003142110716;0.0027791436809061106;0.0;0.0;0.256703729363601;0.256703729363601;-0.001980667740071579;0.8461669902090289;0.04544351102317756;0.15383300979097114;0.0019806677400716066
"1.1.2. Formação Savânica";0.014141517820403751;0.08714474818846704;0.0;0.023795444779251874;0.004112421806215836;0.0;0.0;0.1291941325943385;0.1291941325943385;0.01809485116281965;0.6745255874900766;0.052915247050944095;0.32547441250992337;0.018094851162819642
"2.1. Área Úmida Natural não Florestal";0.010890264528455245;0.014920185315034015;0.22338582298028242;0.0;0.0;0.0;0.0;0.2491962728237717;0.2491962728237717;0.006333245756280605;0.8964252171550652;0.04727655122223081;0.10357478284493482;0.006333245756280609
"2.2. Formação Campestre (Campo)";0.00757839392554807;0.018204610458611815;0.015320236729947779;0.22106952735279928;0.0156764079694372;0.0;0.0004358153029670406;0.2782849917393112;0.2782849917393112;-0.013602258034616906;0.7943997481541885;0.04335120692984943;0.20560025184581154;0.013602258034616899
"3.1. Pastagem";0.0012762700231879766;0.0;0.0;0.0039088643928601235;0.026611267604464296;0.0;0.0;0.0317964020205124;0.0317964020205124;0.01738283904051105;0.8369270078827448;0.0862786721942768;0.16307299211725523;0.017382839040511043
"3.3 Mosaico de Agricultura ou Pastagem";0.0023352237782347045;0.0015253117357402746;0.0;0.006048894037672269;0.0;0.004828803696249478;0.0;0.014738233247896726;0.014738233247896726;-0.00990942955164725;0.3276378935676425;0.07807792109025943;0.6723621064323575;0.009909429551647248
"5.1. Rio, Lago e Oceano";0.0012871694966682962;0.0;0.015467226439574284;0.0;0.0;0.0;0.023331842274326758;0.040086238210569336;0.040086238210569336;-0.016318580633275542;0.582041202064577;0.058949730031799985;0.417958797935423;0.01631858063327554
"total";0.25472306162352937;0.14728898375715815;0.2555295185800523;0.2646827337046943;0.04917924106102344;0.004828803696249478;0.023767657577293797;1.0;1.0;0;0.8035862341476205;0.04860414369761964;0.19641376585237946;0.041810935959611294
"adj population";0.25472306162352937;0.14728898375715807;0.25552951858005196;0.264682733704694;0.04917924106102345;0.004828803696249478;0.023767657577293794;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.1689849224598845e-15;1.3477941719426554e-15;1.075344881198809e-15;1.1266639354125704e-15;2.298955825404998e-15;7.506067404814212e-15;3.0975913987248336e-15;1.7621402539957965e-14;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8527465894394176;0.5916582894763293;0.8742075053465892;0.8352245885424692;0.5411077322532091;1.0;0.9816635147342667;0.8035862341476205;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.04525606172752817;0.045534801591177315;0.045874751791512854;0.04588363369963013;0.0524046731683413;0.28485817976860034;0.10430011325544211;0.048533211755367185;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9547439382724718;0.9544651984088227;0.9541252482084871;0.9541163663003699;0.9475953268316587;0.7151418202313997;0.8956998867445579;0.19641376585237946;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.07501767914499602;0.08409876881174294;0.05162089968697853;0.08722641270379006;0.010370268832096206;0.0;0.0008716306059340789;0.1546028298927689;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1986 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1.1. Formação Florestal";0.21893601223945702;0.02535072736874306;0.0013588221282480935;0.009275186265740159;0.0035824726214294914;0.0;0.2585032206236178;0.2585032206236178;-0.0047864358804467;0.8469372710765143;0.0453397567729443;0.1530627289234857;0.004786435880446693
"1.1.2. Formação Savânica";0.014593148399999954;0.08528111147894268;0.0;0.023416254051402987;0.004954581587123856;0.0;0.1282450955174695;0.1282450955174695;0.01544656350365381;0.664985363649448;0.05315245650766981;0.33501463635055195;0.01544656350365381
"2.1. Área Úmida Natural não Florestal";0.0034633318864173103;0.005851283242565576;0.15909958976967514;0.0;0.0;0.0;0.16841420489865802;0.16841420489865802;0.04796587767668886;0.9446922239451958;0.05657018222795838;0.05530777605480419;0.04796587767668886
"2.2. Formação Campestre (Campo)";0.012970736803746087;0.026637229390968926;0.0404249098862976;0.26040798613877186;0.016615955050176025;0.00043664748334661666;0.3574934647533071;0.3574934647533071;-0.05425431976962276;0.728427263190586;0.03584357993794355;0.27157273680941396;0.05425431976962275
"3.1. Pastagem";0.0024639280931368895;0.000571307539903047;0.0;0.010139718527769345;0.03400627798613898;0.0;0.04718123214694826;0.04718123214694826;0.011978055097920094;0.7207585821460695;0.06720514984068376;0.27924141785393053;0.01197805509792009
"5.1. Rio, Lago e Oceano";0.0012896273204138686;0.0;0.015496760791126062;0.0;0.0;0.023376393948459976;0.0401627820599999;0.0401627820599999;-0.016349740628193315;0.582041202064577;0.05896724572667367;0.417958797935423;0.016349740628193308
"total";0.2537167847431711;0.1436916590211233;0.21638008257534688;0.30323914498368437;0.05915928724486835;0.023813041431806594;0.9999999999999999;0.9999999999999999;0;0.7811073715614454;0.046417193266885814;0.21889262843855462;0.07539049627826276
"adj population";0.25371678474317105;0.1436916590211232;0.21638008257534672;0.3032391449836839;0.05915928724486836;0.02381304143180659;0.9999999999999999;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.1749876561951704e-15;1.3638504248874374e-15;1.1310610345089703e-15;1.0778741559318922e-15;2.119849273016382e-15;3.103787607049278e-15;9.97141015158913e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8629149721453331;0.5935007784022174;0.7352783485248657;0.8587545191528057;0.5748256878988814;0.9816635147342667;0.7811073715614456;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.045738388068641014;0.04659710148593415;0.04225011398644623;0.04382750785651846;0.05115851606486077;0.10424838713297394;0.046241483249480804;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9542616119313589;0.9534028985140659;0.9577498860135538;0.9561724921434815;0.9488414839351392;0.8957516128670261;0.2188926284385544;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.06956154500742817;0.08592796807705361;0.018629230257965756;0.08566231768982502;0.02634990832161857;0.000873294966693236;0.1435021321602922;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1987 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1.1. Formação Florestal";0.2168942360956485;0.024591532487025388;0.0013568008257622995;0.008860428823884535;0.004761408818463933;0.0;0.25646440705078466;0.25646440705078466;-0.005705654009579814;0.8457089176226291;0.04549731723355858;0.15429108237737088;0.005705654009579786
"1.1.2. Formação Savânica";0.014571440505697033;0.08532658662945676;0.0;0.024032328032832045;0.004376753751044159;0.0;0.12830710891903;0.12830710891903;0.015192778208601043;0.6650183871207267;0.05282632123570088;0.3349816128792733;0.015192778208601071
"2.1. Área Úmida Natural não Florestal";0.005941308671593669;0.007724614355141792;0.20220785041214;0.0;0.0;0.0;0.21587377343887548;0.21587377343887548;0.028672268394473024;0.9366948434307842;0.05448307427193745;0.06330515656921576;0.02867226839447304
"2.2. Formação Campestre (Campo)";0.011773393518495759;0.024996030657226945;0.024603562251047893;0.22912587195274783;0.018766509496262764;0.00043599795267946297;0.30970136582846064;0.30970136582846064;-0.03716692431165102;0.739828419354332;0.038294153248528494;0.26017158064566803;0.03716692431165103
"3.1. Pastagem";0.00029066530178630857;0.0008611229987801533;0.0;0.010515812707345222;0.036978585838885816;0.0;0.0486461868467975;0.0486461868467975;0.016237071057859175;0.7601538421776672;0.06714067417903481;0.23984615782233276;0.016237071057859168
"5.1. Rio, Lago e Oceano";0.0012877089479835777;0.0;0.01637782834439829;0.0;0.0;0.023341620623670338;0.04100715791605221;0.04100715791605221;-0.017229539339702414;0.5692084457902234;0.057133342140306825;0.43079155420977655;0.017229539339702407
"total";0.2507587530412049;0.14349988712763107;0.24454604183334852;0.2725344415168096;0.06488325790465667;0.0237776185763498;0.9999999999999999;0.9999999999999999;0;0.793874751552549;0.047676667199786776;0.20612524844745095;0.06010211766093325
"adj population";0.2507587530412048;0.14349988712763098;0.24454604183334835;0.2725344415168093;0.06488325790465667;0.023777618576349798;0.9999999999999999;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.1756066790151951e-15;1.3606372550633973e-15;1.0913224958959757e-15;1.1108993527507914e-15;2.044184548553708e-15;3.0966195276480214e-15;9.879269858927088e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8649518051320356;0.5946108274884281;0.8268702649864976;0.8407226282209749;0.5699249241341172;0.9816635147342667;0.793874751552549;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.0460546320297073;0.046337137156375816;0.04665578057754312;0.04452714246927625;0.04840647945977004;0.10409232229551581;0.04735848005269941;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9539453679702927;0.9536628628436242;0.9533442194224568;0.9554728575307238;0.9515935205402299;0.8959076777044842;0.20612524844745095;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.06772903389111273;0.08596104457914647;0.027331846053470943;0.08681713912812355;0.02333520201582337;0.0008719959053589271;0.14602313078651802;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1988 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1.1. Formação Florestal";0.2152998108317185;0.025790437384259284;0.001359747315456015;0.009652106449037686;0.00404209480004812;0.0;0.25614419678051964;0.25614419678051964;-0.006581010511626295;0.8405414354017195;0.04521958517080641;0.15945856459828045;0.006581010511626323
"1.1.2. Formação Savânica";0.014603084501232266;0.08330214108019042;0.0;0.02358916390376626;0.0060224926440941235;0.0;0.12751688212928308;0.12751688212928308;0.0126339489522998;0.6532636282287273;0.05281712191684675;0.3467363717712727;0.012633948952299745
"2.1. Área Úmida Natural não Florestal";0.00986797274056055;0.007945965155183574;0.21486901326507798;0.0;0.0006663105285732543;0.0;0.23334926168939535;0.23334926168939535;0.02204493623493165;0.920804341567123;0.050945168421332225;0.07919565843287701;0.022044936234931645
"2.2. Formação Campestre (Campo)";0.00821051627710582;0.0222492944097373;0.023241212893432155;0.2171559660398223;0.01795381011910178;0.0004369447854419867;0.28924774452464136;0.28924774452464136;-0.02741342346857146;0.7507611386795878;0.04027170912246082;0.24923886132041218;0.027413423468571507
"3.1. Pastagem";0.0002912965236279911;0.0008629930522122784;0.0;0.01143708466344364;0.040543500455090184;0.0;0.05313487469437409;0.05313487469437409;0.01609333385253337;0.7630299438606359;0.06467623951820566;0.23697005613936406;0.01609333385253337
"5.1. Rio, Lago e Oceano";0.0012905053946481843;0.0;0.015924224450360857;0.0;0.0;0.023392310336778094;0.04060704018178714;0.04060704018178714;-0.016777785059567056;0.5760653874810086;0.058052195415546036;0.42393461251899145;0.016777785059567056
"total";0.24956318626889332;0.14015083108158283;0.255394197924327;0.26183432105606985;0.06922820854690746;0.023829255122220082;1.0;1.0;0;0.7945627420086774;0.04764821921617024;0.20543725799132262;0.050772219039764824
"adj population";0.2495631862688932;0.14015083108158283;0.2553941979243267;0.26183432105606963;0.06922820854690746;0.02382925512222008;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.1800237049197706e-15;1.3742613955767383e-15;1.0813679520877668e-15;1.128605560570229e-15;2.010144210299618e-15;3.1011763276138274e-15;9.875579151067951e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8627066117025068;0.5943749347565381;0.8413230018982004;0.8293640236465407;0.5856500017275303;0.9816635147342667;0.7945627420086774;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.04608241502568632;0.047238254834100504;0.0454447929963328;0.04544159828364582;0.0484689503530421;0.10408578376132822;0.04746116678899017;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9539175849743137;0.9527617451658995;0.9545552070036672;0.9545584017163542;0.9515310496469579;0.8959142162386717;0.20543725799132262;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.06852675087434962;0.08842948209818532;0.03696049684863473;0.08935671003249512;0.025182748478567815;0.0008738895708839747;0.1546650389515583;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1989 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1.1. Formação Florestal";0.2159076282945053;0.025748139708106327;0.0013584084302020688;0.010826036048950308;0.005922937641773589;0.0;0.2597631501235376;0.2597631501235376;-0.011661145082604157;0.8311711195056898;0.04450717260802439;0.16882888049431022;0.011661145082604185
"1.1.2. Formação Savânica";0.013839210645899356;0.0852543630840485;0.0;0.01684546042513683;0.004796975519043019;0.0;0.1207360096741277;0.1207360096741277;0.020848006435864166;0.7061220866430332;0.05668819167466231;0.2938779133569668;0.020848006435864153
"2.1. Área Úmida Natural não Florestal";0.00954769599128772;0.012227982758227954;0.22047476305372107;0.0;0.0016789882976078099;0.0;0.24392943010084456;0.24392943010084456;0.018434447144496904;0.90384650578068;0.047665767438205775;0.09615349421931996;0.018434447144496935
"2.2. Formação Campestre (Campo)";0.007255315835483476;0.01646423300416648;0.024419373332247144;0.21513230034198574;0.016902549431490145;0.0008976585797218982;0.2810714305250949;0.2810714305250949;-0.027455894577149142;0.7654008091113268;0.041223311375083616;0.2345991908886732;0.027455894577149142
"3.1. Pastagem";0.0;0.001889297555442597;0.0;0.010811739131872864;0.0407661792608094;0.0;0.05346721594812486;0.05346721594812486;0.0166004142025991;0.7624518789301035;0.06632049861812936;0.23754812106989653;0.016600414202599105
"5.1. Rio, Lago e Oceano";0.0015521542737575882;0.0;0.01611133242917118;0.0;0.0;0.02336927692534228;0.041032763628271046;0.041032763628271046;-0.016765828123206875;0.5695272474711195;0.05699051995676106;0.4304727525288805;0.01676582812320687
"total";0.24810200504093344;0.14158401610999186;0.2623638772453415;0.2536155359479458;0.07006763015072397;0.024266935505064178;0.9999999999999999;0.9999999999999999;0;0.8009045109604123;0.04750385895973125;0.19909548903958774;0.0558828677829602
"adj population";0.24810200504093335;0.1415840161099918;0.2623638772453411;0.2536155359479455;0.07006763015072395;0.024266935505064174;0.9999999999999999;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.181255904103135e-15;1.3684740851940128e-15;1.0654645658463583e-15;1.1505932499171655e-15;1.982102362956504e-15;3.0987570046944758e-15;9.84664717271165e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8702373374970649;0.6021468060195244;0.8403396281857461;0.8482615212742384;0.581811874800338;0.9630089848166214;0.8009045109604124;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.046598952604908137;0.04698436639954048;0.04391376412365287;0.04708421735277534;0.048739836523604835;0.1018659939199481;0.047563263645605404;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9534010473950919;0.9530156336004595;0.9560862358763471;0.9529157826472247;0.9512601634763952;0.8981340060800519;0.19909548903958763;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.06438875349285628;0.0709632931801584;0.04690933409424697;0.07696647121192007;0.02540207337463092;0.001795317159443796;0.14321262125662823;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1990 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1.1. Formação Florestal";0.2136717606979866;0.02528789700478373;0.0013610468831774067;0.010756395445522805;0.007495266947779643;0.0;0.2585723669792502;0.2585723669792502;-0.011840029297823504;0.8263518766300857;0.04449445937387892;0.1736481233699143;0.01184002929782349
"1.1.2. Formação Savânica";0.015617805625222749;0.08177420407387018;0.0;0.015607313054438635;0.003587051132491047;0.0;0.11658637388602261;0.11658637388602261;0.02280080624652349;0.7014044724799008;0.05689296576338016;0.2985955275200992;0.022800806246523475
"2.1. Área Úmida Natural não Florestal";0.00721642324259185;0.006608154962100794;0.18433691945666786;0.0;0.0;0.0;0.19816149766136051;0.19816149766136051;0.03049421056956574;0.9302358007592494;0.054163004142538086;0.06976419924075061;0.030494210569565722
"2.2. Formação Campestre (Campo)";0.008671179074018468;0.023823956931062453;0.027136423556544546;0.24686578618738625;0.018442815887496983;0.0008994021127402793;0.32583956374924894;0.32583956374924894;-0.03937910446641395;0.7576298695801182;0.038341862216325094;0.24237013041988176;0.039379104466413906
"3.1. Pastagem";0.0;0.0018929671607289206;0.0;0.01323096459548734;0.044925111239749176;0.0;0.06004904299596543;0.06004904299596543;0.014401202211551412;0.748140336603992;0.06317645094213867;0.25185966339600796;0.014401202211551417
"5.1. Rio, Lago e Oceano";0.0015551690416070263;0.0;0.01582131833453642;0.0;0.0;0.023414667352009456;0.0407911547281529;0.0407911547281529;-0.01647708526340317;0.5740133494149238;0.05706729862552098;0.42598665058507623;0.016477085263403166
"total";0.2467323376814267;0.13938718013254608;0.22865570823092624;0.28646045928283503;0.07445024520751685;0.024314069464749736;1.0;1.0;0;0.7949884490076693;0.0474858263594734;0.2050115509923307;0.06769621902764059
"adj population";0.2467323376814266;0.13938718013254606;0.2286557082309261;0.2864604592828347;0.07445024520751684;0.024314069464749732;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.1872042530229752e-15;1.3803705210420384e-15;1.1125612250831123e-15;1.099118044238833e-15;1.936087733451336e-15;3.104305244989045e-15;9.81964702182734e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.866006307506692;0.5866694770359041;0.806176766295729;0.861779621541571;0.6034246242511142;0.9630089848166214;0.7949884490076694;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.046638652764643095;0.046515062512109455;0.04561404936194312;0.04474286784572184;0.04924257409650873;0.10124688927141709;0.04736568807000642;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9533613472353569;0.9534849374878905;0.9543859506380569;0.9552571321542782;0.9507574259034912;0.8987531107285829;0.2050115509923306;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.06612115396688018;0.06962433962430487;0.02764915640938531;0.07918934619089757;0.030247863512432513;0.001798804225480559;0.1373153319646905;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1991 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1.1. Formação Florestal";0.21306974550715918;0.025525106323582063;0.0013571741719743278;0.01012287702906696;0.007945519824954603;0.0;0.25802042285673715;0.25802042285673715;-0.012442833370066991;0.8257863588785128;0.04437577966937403;0.17421364112148718;0.012442833370067047
"1.1.2. Formação Savânica";0.015114704134275743;0.08217152710825758;0.0;0.01615641715716859;0.0025408379886869372;0.0;0.11598348638838886;0.11598348638838886;0.02449852980540297;0.7084760914419607;0.05719510892730607;0.29152390855803934;0.024498529805402944
"2.1. Área Úmida Natural não Florestal";0.007168497296139758;0.0052159282079018736;0.2184912436213532;0.0;0.002009987570185006;0.0;0.2328856566955798;0.2328856566955798;0.016781050439065595;0.9381910707663608;0.05179612971360188;0.06180892923363923;0.016781050439065637
"2.2. Formação Campestre (Campo)";0.008673898572226871;0.025681873625949387;0.013460109698864213;0.22376285681578523;0.01823807781526325;0.0008968429616330445;0.290713659489722;0.290713659489722;-0.026875278905607758;0.7697019025818984;0.04107506345626562;0.2302980974181016;0.026875278905607758
"3.1. Pastagem";0.0;0.0018875809281009152;0.0;0.013796229582093483;0.045455996982999375;0.0;0.06113980749319377;0.06113980749319377;0.015050612688895397;0.7434762856925847;0.061345222952499424;0.2565237143074153;0.015050612688895404
"5.1. Rio, Lago e Oceano";0.0015507439768685858;0.0;0.016358179642453688;0.0;0.0;0.023348043457056773;0.04125696707637905;0.04125696707637905;-0.017012080657689232;0.5659175919022967;0.05647272870091773;0.43408240809770327;0.01701208065768923
"total";0.2455775894866701;0.1404820161937918;0.24966670713464545;0.26383838058411424;0.07619042018208917;0.02424488641868982;0.9999999999999999;0.9999999999999999;0;0.8062994134926112;0.04816773189709696;0.19370058650738875;0.05633019293336401
"adj population";0.24557758948667008;0.14048201619379178;0.2496667071346451;0.2638383805841141;0.07619042018208916;0.024244886418689812;0.9999999999999999;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.1854667546153864e-15;1.3710933473843855e-15;1.0807014059961019e-15;1.1258384324265113e-15;1.899037119847453e-15;3.0944490778611088e-15;9.756586138130947e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8676269929700752;0.5849255964187172;0.8751316750595851;0.8481057847626056;0.5966103989761845;0.9630089848166214;0.8062994134926112;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.04670507392925379;0.04604512093391413;0.047450102921754354;0.04593250636442997;0.047654553359458694;0.10186997696660362;0.04800434640713804;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9532949260707462;0.9539548790660859;0.9525498970782457;0.95406749363557;0.9523454466405413;0.8981300230333964;0.19370058650738875;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.06501568795902185;0.06762391856026256;0.02878882614845324;0.08015104753665803;0.031367621020388786;0.0017936859232660918;0.1373703935740253;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1992 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1.1. Formação Florestal";0.21247735009044763;0.02436487346933689;0.0013621502349535368;0.01050757506483598;0.0069526459107353954;0.0;0.25566459477030945;0.25566459477030945;-0.009923320431870844;0.8310785084705941;0.044727067145261486;0.16892149152940594;0.00992332043187083
"1.1.2. Formação Savânica";0.015210464913666111;0.08045577803455117;0.0;0.012716523935561273;0.002934649821599555;0.0;0.1113174167053781;0.1113174167053781;0.025227264659903232;0.7227600173968471;0.05987081055619563;0.27723998260315286;0.02522726465990323
"2.1. Área Úmida Natural não Florestal";0.0070396604467896;0.0071385424335933595;0.1935753720287355;0.0;0.0;0.0;0.20775357490911847;0.20775357490911847;0.028274164114741252;0.9317547104227436;0.05397553592591606;0.0682452895772564;0.028274164114741235
"2.2. Formação Campestre (Campo)";0.009457369126297304;0.022283260143842677;0.026053435292804742;0.2407305598693229;0.02156325426440354;0.0009001312256979686;0.32098800992236914;0.32098800992236914;-0.044355386075390246;0.7499674518295666;0.038118837019569494;0.2500325481704334;0.0443553860753903
"3.1. Pastagem";0.0;0.002302227283957238;0.0009076842467369601;0.012677964977258722;0.04926935142197268;0.0;0.06515722792992559;0.06515722792992559;0.015562673488785574;0.7561609507844654;0.06142003710173912;0.24383904921553456;0.01556267348878558
"5.1. Rio, Lago e Oceano";0.0015564297612379579;0.0;0.014129097220628972;0.0;0.0;0.023433648781032698;0.039119175762899625;0.039119175762899625;-0.014785395756168964;0.5990322731507297;0.060991861874116315;0.4009677268492703;0.014785395756168957
"total";0.24574127433843862;0.13654468136528133;0.2360277390238597;0.27663262384697884;0.08071990141871117;0.024333780006730667;1.0;1.0;0;0.7999420602260624;0.04793700236750439;0.2000579397739376;0.06906410226343007
"adj population";0.24574127433843856;0.1365446813652813;0.23602773902385957;0.2766326238469786;0.08071990141871116;0.024333780006730664;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.1938693730068559e-15;1.3935370335589974e-15;1.0995985301308912e-15;1.1195388965395394e-15;1.859892482233209e-15;3.1127381960731416e-15;9.779174511542636e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8646384318729485;0.5892267441696805;0.8201382296390477;0.8702175344383261;0.610374276430321;0.9630089848166214;0.7999420602260624;NaN;NaN;NaN;NaN;NaN;NaN
